"id","question", "answers"
"1","Teoricamente falando é possível criar um raio de encolhimento?","Não. Quando você examina a natureza em escala menor, forças que não fazem tanto efeito quando se é grande começam a ser de uma importância tremenda.Vou dar um exemplo simples, se você for encolhido para ficar do tamanho de uma pulga, você pode morrer de sede. Por que para beber água, vai ter que vencer a força de coesão da superfície da água, a tal da tensão superficial.Insetos e outros bichos tem já o aparato necessário para isso. Mas você?De qualquer forma, o que eu quero dizer é que você não vai mais ser você, se você encolher. As forças entre as moléculas vão impedir que a distância entre elas diminua mais do que uma certa distância, e isso já seria a primeira limitação para o encolhimento. O segundo problema é que, como o exemplo das forças da tensão superficial da água nos mostram, as reações químicas e os efeitos físicos dos quais depende a integridade e o funcionamento do teu corpo não vão mais funcionar do mesmo jeito.Isso não vai dar certo…"
"2","Alguém aqui comprava nas bancas revistas de jogos de computador que vinham com CD como as da CD-Expert, Senha ou BigMax? Quais eram suas favoritas?","Minha favorita foi a edição Jogos de Horror da CD-Expert. Vinha com um jogo completo chamado Stargunner (que ironicamente não era de terror), e vários demos de jogos como Blood, Shadow Warrior, Diablo, Blood Omen, etc.Depois de um tempo, saiu uma edição que tinha o jogo Blood completo (que eu conheci nessa edição Jogos de Horror):Muitos dos meus jogos nessa época vieram dessas revistas como Duke Nukem 3D, Command & Conquer, Age of Empires, Shadow Warrior, Pandemonium e Shattered Steel, bons tempos…"
"3","Qual software você não pode viver sem?","Evernote.Evernote (produto)Eu mesmo causei isso em mim.Se você não sabe o que é Evernote eu vou dar uma breve explicação, ele é um bloco de anotações.Lá eu anoto tudo, mas tudo mesmo. Se eu paguei uma conta de água, força, se eu criei uma conta em um jogo, em um forum, lá tem tudo.E eu acesso ele da onde eu quiser, de quantos dispositivos eu quiser.Até minha mãe e minha esposa dependem do meu Evernote.Minha mae me liga Qual a senha do meu Gmail?, ai eu vou la no evernote escrevo gmail mãe, e voilá! Aparece uma dica da senha e eu já vou saber qual a senha dela.Ou a faculdade me liga e fala Lucas ta faltando um documento seu, pode me enviar? ai eu vou la no evernote e escrevo identidade, já encaminho de lá mesmo para o e-mail da faculdade e mais uma tirada da reta, rs.No começo do ano teve até um causo:Estávamos fazendo uma reforminha na nossa house, e fomos eu e minha esposa comprar mais umas tintas, chegamos lá eu escolhi a tinta, na hora de fazer o pagamento o moço me falou: Senhor, não posso aprovar essa compra pois o último pagamento está como pendenteEu fiquei tipo Espera, como?Claro que paguei meu caro amigo, só um momento que eu uso evernote.Consultei no meu Evernote Comprovante tinta e advinhem??Tava lá o comprovante.Toma aqui meu caro senhor moço, e aprove minhas tintas.. Ele validou o comprovante, pediu algumas desculpas, e na verdade eu tinha pago o boleto antes mesmo dele ser validado pelo banco, paguei muito cedo kkk segundo ele.Mas mais uma vez o Evernote me mostrando o quanto eu preciso dele."
"4","Em qual linguagem de programação você mais gosta de programar/desenvolver? E por quê?","Ainda estou engatinhando, mas, por enquanto, C++.Eu tenho uma história engraçada com C++: foi a primeira linguagem com a qual tive contato. Quando tinha uns 11 anos (pois é), me deu na cabeça criar jogos. E logo descobri que, para criar jogos, era preciso programar. Então, eu tinha que aprender a programar.Não tenho a mínima ideia de como cheguei em C++. Hoje vejo que não é a melhor introdução à programação. Seria melhor eu ter começado com C, Java, ou até Python (se bem que Python não era, naquela época, o colosso que é hoje).Pois bem, comecei a fazer meus Hello World! e programas que somavam dois números. Mas aí, comecei a atingir alguns muros: queria fazer programas com GUI, mas a quantidade de código naqueles tutoriais me assustava, e eu começava a ter problemas com lógica e até especificações da linguagem.O Guilherme de 11 anos desistiu e foi jogar video game.O tempo passou, comprei um livro sobre e aprendi C, brinquei um pouco com HTML, CSS e JavaScript, Java também, comecei a arranhar Python.Até que chegou o primeiro ano de faculdade e eu redescobri C++, porque eu queria fazer… um jogo. Passei o perrengue de instalar uma biblioteca (SFML) e comecei, fiz um jogo da velha, e deu até certo.Hoje, gosto muito de C++: tem a sintaxe relativamente simples do C e uma biblioteca padrão bem grande, ainda que esta seja um pouco estonteante às vezes.Mesmo assim, como disse, eu tô engatinhando: algo interessante sobre C++ é que, quanto mais você sabe, mais você sabe o quanto não sabe.C#.Foi minha primeira linguagem, então é normal que eu tenha facilidade por ter prática, contudo, mesmo gostando de python, C++, e uma ou outra linguagem, desenvolvi um amor acadêmico por C#.É uma linguagem muito bem arquitetada e absurdamente rica! São mais de 100 palavras reservadas, C# é Orientado a Objetos, mas implementa tudo que você precisa para uma linguagem funcional. É orientada a eventos. Tem implementações que faltam em muitas linguagens (não estou falando de bibliotecas, em nenhum momento, só da linguagem) como propriedades alto implementadas, métodos iteradores, programação assíncrona. Além de genéricos ultrapoderosos.Eu acho uma linguagem muito poderosa e produtiva. Nunca me estressei com ela. Na verdade, quando estou estressado, costumo programar um pouco em C# pra ficar melhor.Eu gosto do Clipper. Tinha parado de usá-lo porque nao se conseguia compilar de forma a rodar com maquinas de 64 bits. Mas um grupo de aficcionados pelo Clipper criou o Projeto Harbour. O compilador hbmk2 traduz os comandos do Clipper para C++ e compila em C++.Este grupo também melhorou muito a funcionalidade, as bibliotecas do antigo Clipper. Também criou a HMG Harbour MiniGui que permite rodar os programas em módo gráfico. O Harbour só roda em console.O Clipper é uma linguagem intuitiva (pelo menos para mim) e eu consigo escrever um programa quase como se estivesse escrevendo um texto como esta resposta. E é como andar de bicicleta. Fiquei mais de 10 anos sem usar o Clipper e quando recomecei tinha a sintaxe toda na ponta da língua.PHPE secript, não precisa compilar mesmo assim e rápido (muito rápido).Ultiliza poucos recursos do computador.Roda perfeitamente em Linux, Windows e Mac.Agora com a versão 7 está muito mais fácil deixar tudo em SOLIDTem biblioteca pra praticamente tudo q sistemas na nuvem exigem.Tem emprego sobrando.A minha linguagem atual de desenvolvimento é a C. E deve a ser a que mais eu usei. Então coloco ela aqui em primeiro na minha lista.Seguindo de perto, usei bastante o Java e, apesar de fazer pouca coisa atualmente com ela, a acho bem fácil e bacana, portanto a segunda aqui na minha lista.A terceira é Pascal. Uma pena que o Delphi virou pó na mão da MS.A quarta deixo para o C++. Só não está nas cabeças por causa da sua complexidade.Por fim menciono JavaScript. Estou estudando agora e promete muito. Vamos ver…Gosto muito de programar scripts em BASH, porém ainda tenho que me aprofundar bastante nas diferenças entre DASH, SHELL etc.Porém, gosto muito de utilizar Golang para projetos em que quero testar novos conceitos ou utilizar bibliotecas de serviços maiores.Sou acostumado com Java em sistemas maiores ou acadêmicos, e venho testando Python pois tenho um amigo já bem familiar com a linguagem.Estou visando começar a estudar Rust já que tem se tornado uma linguagem ímpar e está chamando certa atenção, sua similaridade com Go também têm me atraído a isso.Em resumo, por nível de maior usabilidade:Go/BASHJavaPythonNão tenho uma única linguagem que eu goste mais. Eu gosto de determinados elementos de algumas linguagens.Fazendo apenas umas lista, poderia citar Moonscript, Python, Standard ML (em especial MLton), Haskell, Golang e Erlang.Não é uma questão de gosto apenas, mas necessidade.Uma linguagem é mais adequada para a situação A e outra mais adequada para a situação B.No final das contas, o que muda de uma para outra é apenas a sintaxe e objetivo.Gosto muito do PHP. Acho fácil de compreender e a quantidade de exemplos disponíveis ajuda muito quando preciso fazer algo mais complexo.Hoje em dia, sempre que tenho a opção de escolher fico com HTML5 + JSCRIPT + PHP."
"5","Há cada vez mais gays?","Não me parece. Penso que hoje apenas existem mais condições culturais, tecnológicas e politicas para quem é homossexual poder assumir-se como tal. Provavelmente apenas se destapou o que sempre ali esteve escondido, por vergonha, fruto de anátemas sociais que têm perdido força a boleia do evento das redes sociais.Quando as coisas deixam de ser invisíveis, parece que os números aumentam, quando na verdade foi apenas um pano que caiu.Não, o que acontece é simplesmente que agora nós sabemos quem é gay, pois a sociedade os aceita muito mais.No passado não tinha gay? Tinha, provavelmente na mesma proporção de hoje, mas ninguém ficava sabendo quem era gay pois os homossexuais precisavam esconder e fingir ser heteros quando o risco de ser agredido, torturado e morto por isso era altíssima.A ciência tem mostrado que muito provavelmente a grande maioria das pessoas estão em algum lugar do spectro da bissexualidade. mas por causa da cultura, tendem a sempre escolher uma das pontas."
"6","Qual é o custo para uma montadora ao produzir um carro que é vendido ao consumidor final por R$50 mil?",""
"7","Como obter ideias de negócio para uma startup?","Identifique um problema aparente (é uma hipótese) na vida de uma pessoa ou empresa. Depois siga o passo a passo do processo de Customer Development. Durante o processo, sugirão novas idéias e ajustes até que se chegue em uma boa idéia.Tradicionalmente o passo a passo para se criar uma Startup era:escolher uma área / idéiacriar a startup (i.e. obter um CNPJ, alugar um escritório, comprar equipamentos e montar o time inicial)desenvolver e lançar o produtover se dá certopivotar ou parar se não der certo (e aqui surge a dúvida Como saber quando parar?)Em métodos mais modernos de criação de empresas, a validação da área/idéia vem antes da Startup. O processo de Customer Development foi criado exatamente para isso. É um passo a passo de 4 etapas para validar sua idéia/área através de conversas com potenciais clientes e protótipos. As etapas são:Customer Discovery (Descoberta do Cliente)Customer Validation (Validação do Cliente)Customer CreationCompany BuilingPara saber mais sobre essas etapas, você pode ler: Customer Development: O que é e qual a sua relevância em SaaS?Assim, você só cria a Startup depois de ter confirmado no mercado que sua idéia/área é de fato boa.Boa sorte!Uma boa estratégia é participar de eventos de startups, se envolver com acelerados, conversar com empreendedores, etc, e ir construindo uma ideia de negocio com base nessas conversas.Ao menos foi assim que eu montei a Neoleads e a H1 Partners, as empresas que gerencio hoje e que obtiveram sucesso."
"8","Por que a qualidade do som do Vinil é melhor que a do CD?","Um ponto importante é que muitos defensores do vinil fazem comparações injustas. Levam em consideração som reproduzido num sistema desses:Contra um desses:Tem a nostalgia. Na época do vinil ouviam música assim:E hoje:ouTem também as capas. Antes, um quadro pronto para moldura:Contra contra um quadrinho numa telinha:Aí é claro que o vinil vai ser melhor…Exageros a parte, algumas evidências indicam que a qualidade do som do vinil é superestimado:Começa pelos produtores musicais e engenheiros de som. A maioria esmagadora tem já seus 30, 40, 50 ou mais anos de idade, ou seja, suas audições já estão depreciadas e a faixa de 20–20000Hz que eles ouviam quando jovens já está bem mais curta, de 30–12000hz, sendo otimista. Sendo assim, não é possível que eles possam garantir essa qualidade toda ao lançar um álbum, a qualidade tão superior do vinil seria refém da intuição do produtor;Existe uma cadeia de equipamentos enorme que o som percorre até chegar aos ouvidos do ouvinte final. Os equipamentos usados para reproduzir a musica no estúdio durante sua produção vão ser diferentes dos usados pelos ouvinte e vão produzir sons. Fora o ambiente controlado e isolado acusticamente que o estúdio oferece que será diferente da sala de estar ou quarto das pessoas;Mas em defesa do vinil:No vinil, o formato da onda sonora é mantido; enquanto que musicas digitais, normalmente, passam por uma grande compressão que altera o formato da onda e deixam o som diferente. Se é para melhor ou para pior, é pessoal; para mim é para pior;Forçando a muuuuuuito a barra: O som do vinil é mais preenchido. Esse preenchimento é causado por frequências que a maioria dos humanos não consegue captar pelos ouvidos. Mas por outro lado, é possível que as frequências emitidas pelo vinil possam ser captadas pelo tato, já que o som é resultado de vibrações no ar do ambiente. Então ouvir um disco de vinil poderia provocar sensações diferentes que vão além da audição. Não sei nosso tato é sensível a esse ponto, mas existe essa possibilidade;Para mim, a qualidade de som do disco de vinil ser melhor é uma mentira. Quero dizer, é uma meia verdade! A compressão que ocorre nas mídias digitais piora a qualidade do som, mas o fato do som não estar comprimido não quer dizer que ele necessariamente tenha boa qualidade. Existem qualidades suficientemente boas em diversos formatos. Minha preferência pelo vinil é mais estética mesmo.Olá! Obrigada pelo A2A!A verdade é que nenhum argumento consegue provar objetivamente a superioridade do Vinil sobre o CD e vice-versa.Sim, o som CD é bem diferente do som do disco de Vinil. São sistemas diferentes de gravação.Mas predileção por um e por outro se relaciona mais com a tolerância auditiva do indivíduo, com a idade, cultura, gosto musical, qualidade do equipamento de som e até mesmo com o poder aquisitivo, do que com a qualidade de som que cada um produz.Não vale a pena determinar qual mídia é vencedora ou perdedora. Cada mídia e cada sistema de gravação tem suas particularidades.Basicamente, quem prefere um som mais nítido, cristalino, com mais resolução, certamente vai gostar mais do CD. E quem prefere um som mais encorpado, com mais groove, denso e homogêneo, vai gostar do disco de Vinil.É interessante notar o quanto a mesma música pode soar completamente diferente quando reproduzida em mídias diferentes.Isso é tudo que posso dizer.O resto é puro tecnicismo apaixonado.A informação do CD é sampleada, amostrada: o CD tem a informação suficiente para a reprodução, o vinil tem toda ela.Baseia-se na Teoria da Informação, de Claude Shannon, que diz: para reconstruir uma informação amostrada, sem perdas, a freqüência mínima (teórica, na prática é maior) de amostragem é fs=2B, onde B é a banda passanteTeorema da amostragem de Nyquist–Shannon – Wikipédia, a enciclopédia livreComo ouvimos deste 20 Hz a 20kHz → B~=20kHz → 2B = 40kHz. A amostragem é limitada, o CD não reproduz todas as freqüências que apesar de não ouvidas, contribuem para a música.Veja o exemplo. É uma onda dente de serra sintetizada pela sua série de Fourier → a soma de ondas senoidais. Quanto mais freqüências forem somadas, mais próximo da onda dente de serra. Veja o artigo do link. non-sinusoidal wave patterns , Fourier’s theorem , Fourier series , Fourier synthesisSíntese progressiva de Fourier para onda quadrada com 2, 3 e 5 senóidesnon-sinusoidal wave patterns , Fourier’s theorem , Fourier series , Fourier synthesisEu tenho vários cds e discos de vinil com as mesmas músicas, até vinil de 45 rotações e estou procurando ainda um vinil que seja melhor que cd. Tenho alguns poucos cds que foram horrívelmente gravados, não sei qual o motivo.Fora o problema da sujeira, das faixas riscadas e de ter de virar o disco, dei graças aos céus quando veio o cd.Em tese o analógico é sempre mais perfeito que o digital.No analógico, conseguimos nuances infindáveis entre dois valores absolutos.No digital haverá sempre saltos, entre dois valores.Contudo, com os avanços extraordinários do digital, já chegamos a um nível de qualidade, que se tornou impercetível ao ouvido humano qualquer diferença.Para os mais apaixonados, do som puro, perfeito, onde imperam as meias notas musicais, (que só pouquíssimos indivíduos no mundo, conseguem verdadeiramente escutar), têm em opção extrema o vinil banhado a ouro. (Dizem) que se escuta instrumentos e notas musicais que nem se sabia que lá estavam.Em conclusão, embora técnicamente o analógico seja superior, na prática muito difícilmente conseguiremos encontrar diferenças.Embora o vinyl seja analógico, continua a ser um processo mecânico em que um disco se move em relação à posição longitudinalmente estática de uma agulha. Os sulcos do disco tem impressa a oscilação vertical em determinadas distancias entre variações que por sua vez define aquilo que é a frequencia de um ou varios sons somados.Vamos agora a factos, a frequencia de sinal mais alta que o vinyl consegue atingir ronda os 17200hz dependendo da agulha. Mesmo no caso de se utilizar uma agulha de elevado grade nunca ouvi falar de nada superior a 20000 sendo que em digital basta querer e podemos chegar a frequencias muito superiores. Este é o primeiro ponto. O segundo ponto é que a profundidade dinâmica medida do vinyl nao chega nem perto do alcance dinâmico de 144db de audio a 24bit e também não alcanca os -96db de profundidade do audio a 16bit. O que é que isto quer dizer? Menor profundidade dinâmica, logo em termos de SNR (signal to noise ratio) o vinyl é inferior qualitativamente pois o ruido não só é superior devido ao facto de usar um processo mecânico de reprodução como também o é pelo facto de o seu range dinâmico ser inferior. Mesmo o audio 16bit tem um SNR qualitativamente inferior ao 24bit. Tendo um maior range dinâmico certificamos-nos que a amplitude (volume) do ruido está em um ponto mais baixo, e isso significa maior claridade harmonica e tonal, o que traduzindo por termos simples quer dizer, som mais rico e vibrante, com uma coloração mais intensa.Depois há as questões presente somente no vinyl como a dificuldade em reproduzir stereo em baixas frequências. Eu faço Mastering para vinyl e é normal que nesse processo se coloque sempre as frequências abaixo dos 120hz em mono. Pode haver uma oscilação se houver um requisito de permanencia stereo até mais abaixo mas aí já tem de ser analisado quanto às ressonâncias nessa àrea pois quando reproduzidas num disco poderiam causar um salto da agulha.Agora, poder-se-á colocar a questão de que se isto tudo é facto, porque é que o vinyl soa melhor? Eu vou começar pela razão mais simples e relevante de todas. MasteringA reprodução do vinyl tem limitações mecânicas. O que é que isto significa? Bem significa que para o vinyl ser reproduzido devidamente sem saltar nem apresentar artefactos indesejados, o engenheiro e todos os envolvidos na cadeia de criação e venda do disco não têm a possilidade de cometer idiotices nem influenciar os engenheiros de mastering a comete-las. Passo a explicar em detalhe esta questão. Ha cerca de 20/30 anos que na industria da musica vivemos algo que é chamado de loudness war. A loudness war é um “grito de revolta” por parte dos engenheiros que têm como função entregar o melhor som, contra os empresários que gerem as editoras e têm como objectivo maximizar o engagement e aumentar a eficácia das musicas no que toca a airplay. Na decada de 90 criou-se a ideia quase consensual, que uma música que soasse mais alto na rádio teria mais atenção do ouvinte e com isso conseguiria uma incepção melhor. Isto levou os empresários a forçar para que no mastering a musica fosse comprimida/limitada e tambem tivesse o seu espectro optimizado para obter mais volume perceptivel. O lado adverso deste processo é a perda de curva dinâmica na resposta do som, que é a mesma que confere o contraste dinâmico, que por sua vez preserva o efeito de impacto dinâmico por referência e também a coloração tonal que é sempre dependente da diferença de amplitude entre o ruído e a ressonância que define o tom na sua frequência dominante.Ou seja com este processo levado a um ponto quase extremo na busca do som mais alto, existiu uma degradação do som, que em vinyl não é algo admissível. Grande parte da musica pop lançada no digital nao seria reproduzível em vinyl sem um novo mastering, muito mais dinâmico.Traduzindo, o vinyl soa melhor essencialmente porque por ser limitado não permite um mastering destrutivo que só visa a distribuição comercial.Porém se fizermos o mesmo processo de Mastering para digital teremos tão boa ou até melhor qualidade.Há muitos engenheiros e musicos hoje em dia a publicar musica com elevada qualidade e sem compromisso, em digital.Há imensas peculiaridades que demonstram o porquê do formato vinyl ser tecnicamente inferior e irei actualizar esta resposta assim que disponha do tempo necessário para tal.Isto é amplamente algo teórico, e MUITA coisa depende do equipamento e ambiente no qual você está ouvindo.Teoricamente, uma ranhura em um disco de vinil é uma série contínua de arcos e curvas que a agulha segue. Como as curvas são contínuas, a agulha está seguindo por uma superfície perfeitamente suave, e há pontos infinitos onde a música está sendo amostrada.A música digital se resume a um bando de uns e zeros. São pontos de dados representando o som em intervalos específicos. Então teoricamente, existem pequenos espaços entre cada ponto. A distância entre estes pontos varia por uma taxa de amostragem, e pode ser bem pequena, mas nunca não existente.Como resultado, se você fosse traçar um som como uma linha curvada o som analógico é uma curva suave, enquanto o som digital é um zilhão de pequenos pontos que formam uma linha. No microscópio, você veria espaço entre estes pontos em uma curva digital e nenhum espaço na curva analógica.Na realidade: se você está transmitindo a música do seu Ipod via Bluetooth para o som do seu carro e competindo com ruídos do trânsito, você não está perdendo nada por não escutar em vinil. Se você está ouvindo suas músicas favoritas em uma caixa de som enquanto cozinha o jantar e o som está competindo com panelas batendo, água fervendo, e talvez vozes de pessoas, você não está perdendo nada.Se, entretanto, você gasta $25.000 em uma toca-discos sob medida, amplificador e caixas de som em uma sala tratada acusticamente, tocando um vinil muito bem preservado, então talvez você ouça alguma diferença. De novo, se você tem este orçamento, suas músicas digitais vão soar ótimas também.Pra concluir: antes quando o vinil era a única opção, bandas criavam álbuns que eram designados para serem ouvidos em ordem, A coleção de músicas era importante, mas também era a ordem em que eram apresentadas. Devido ao tamanho dos discos, as bandas também incluíam belas artes nas capas/embalagem. Então o processo de ouvir música era frequentemente mais focado e imersivo quando você se sentava e ouvia um novo LP em ordem enquanto observava a capa.Avançando para hoje, você compra músicas ao invés de álbuns, e randomiza a ordem de suas playlists, e escuta enquanto você corre na esteira da academia. Na maioria dos casos, ouvir música se tornou muito menos imersivo do que era. Pra mim, ESTA é a real diferença."
"9","Por que o WhatsApp nunca vai deixar de ser gratuito? Como a empresa faz dinheiro?","“Se você não paga pelo produto, você é o produto.”Qualquer coisa feita na vida tem uma intenção por trás. No whatsapp, por exemplo, como nada é cobrado, nós somos o produto. E como eles ganham dinheiro conosco? Dados.Por mais que os dados sejam protegidos, tudo o que fazemos num dispositivo eletrônico é rastreável. Claro, em algum momento, acredito que as propagandas vão aparecer por lá, assim como acontece no messenger e nos outros produtos. É questão de tempo."
"10","Seria possível que a humanidade seja uma das civilizações mais avançadas da galáxia? Não vemos coisas como naves alienígenas, esferas de Dyson e impérios galácticos.","Esta é uma representação artística do Proxima Centauri B, um planeta orbitando a estrela mais próxima do nosso sol.Nós não sabíamos sobre este planeta até 24 de agosto de 2016, é verdade, no momento em que escrevemos nosso conhecimento sobre este planeta tem menos de dois anos.É o exoplaneta mais próximo conhecido e provavelmente o mais próximo possível.Aprendemos sobre outras galáxias no início do século XX. Confirmamos a existência de exoplanetas em 1992, mas não vimos isso até 2016.Percorremos um longo caminho em termos de nossa capacidade de observar, mas ainda não conseguimos ver nada, na melhor das hipóteses.É improvável que vejamos uma esfera de Dyson porque ela bloquearia toda a luz, precisaríamos de outra forma de detecção e, provavelmente, imagens com resolução mais alta.Uma nave alienígena pode ter o tamanho de, digamos, um porta-aviões ou dez vezes o tamanho, que ainda é uma fração minúscula de um por cento da distância daqui até Marte, e muito menos de outra estrela. Nossos telescópios terrestres nem conseguem ver veículos na Lua e sabemos exatamente onde procurar. (ainda podemos focar os lasers em refletores especiais devido à colimitação do raio laser, mas à luz visível comum, sem dados)Um império galáctico... mesmo que eles estivessem destruindo planetas no estilo de guerra nas estrelas, tudo o que eles precisam fazer é estar do outro lado do núcleo galáctico e nunca, jamais, temos chance de vê-los (a menos que tenhamos um efeito de lente gravitacional realmente sortudo).Eles podem ser muito mais avançados do que nós e ainda não têm a capacidade de destruir planetas.Considere até que ponto a tecnologia humana chegou nos últimos 200 anos.Imagine que apenas um outro planeta tenha uma espécie com um avanço de 100 anos.Agora lembre-se de que a vida existe em nosso planeta há centenas de milhões de anos.Agora imagine que um planeta tinha uma espécie que chegou ao nosso nível, há 20 milhões de anos e alguns conseguiram sobreviver…É possível que estejamos tão bons quanto possível, mas isso seria muito deprimente."
