"id","question","answers"
"1","Quem fez esse universo?","Quem fez esse universo?Pense numa pergunta carregada…Nada aponta para um universo feito, muito menos para um quem.Nosso atual estágio de conhecimento nos permite determinar as condições iniciais do Universo até um tempo finito após o tempo zero, nada além disso.Qualquer um que afirme saber o que aconteceu em T=0 ou antes disso, está mentindo ou é delirante.A menos, é claro, que a afirmação venha acompanhada de um modelo coerente e de evidências cientificamente aceitas a favor desse modelo."
"2","O que é o bóson de Higgs?","Na teoria do Big Bang, mostrou-se difícil incluir partículas que tinham massa. Assim, alguns teóricos procuraram ver o que aconteceria se todas as partículas tivessem massa zero. A teoria funcionou! Uau! Mas não representava a realidade.Então Higgs e seus colegas criaram uma maneira fascinante de lidar com isso. E se elétrons, quarks, todas as partículas elementares fossem realmente sem massa? Talvez eles sejam! Mas isso contradiz a realidade. Podemos medir a massa do elétron.Mas eles sabiam que a massa aparente do elétron muda quando ele se move através de um cristal (como silício ou quartzo). Então talvez a massa do elétron seja uma ilusão. Os elétrons se comportam como se tivessem massa, mas na verdade não têm. É que eles estão se movendo através de uma substância semelhante a cristal.Essa substância semelhante ao cristal acabou sendo chamada de campo de Higgs. Ela preenche todo o espaço, e é por isso que as partículas se comportam como se tivessem massa.E o universo primitivo? Os teóricos já especularam sobre a criação de novos campos, e o campo de Higgs se encaixou bem. No universo primitivo, o campo de Higgs era zero em todos os lugares. Houve uma “transição de fase” na qual, através da “quebra espontânea de simetria”, o campo de Higgs cresceria rapidamente e alcançaria um valor constante, o valor que possui agora. Então, a partir desse momento, todas as partículas teriam uma massa aparente.Essa teoria pode ser testada? Sim! Na física quântica, qualquer campo terá propriedades de partículas. Isso significa que devemos ser capazes de criar uma partícula de Higgs em laboratório. Teria propriedades bem definidas. O ponto crítico seria que decairia principalmente em partículas muito pesadas que então também decairiam.A descoberta dos Higgs verificou essa previsão. Anexo uma “foto” (representação gerada por computador) de um evento de Higgs, tirada pela equipe do laboratório perto de Genebra, uma foto que aparece no meu livro Now: The Physics of Time. (Claramente, meu livro fala mais do que apenas sobre o tempo.)"
"3","Como é que é possível que um animal considerado extinto volte a aparecer, como por exemplo a baleia-franca-pigmeia?","Para responder a essa pergunta, precisamos, primeiramente, ter em mente como é que os cientistas descobrem quando uma espécie foi extinta, e nos diversos problemas que esse processo tem. Para facilitar a exposição, vamos usar um exemplo bem simples.Imagine que você tenha a espécie X, que você acha que pode estar extinta. Como você faria para descobrir se ela ainda existe ou não? Obviamente que a resposta depende de X, mas o processo seria mais ou mesmo assim. Você, primeiramente, teria que ter uma definição muito clara e precisa do que é a espécie X. Afinal de contas, se vamos tentar procurar os indivíduos dessa espécie, temos que ter uma boa ideia de como eles são ou deveriam ser — caso contrário, nós simplesmente estaremos perdendo tempo procurando por algo que não sabemos o que é. Além disso, essa definição ajuda a delimitar a nossa busca: se, por exemplo, soubermos que a espécie X tem sangue frio, nós não iremos procurar por ela, por exemplo, nos Andes ou no Himalaia, porque esses lugares são muito frios (embora, até onde eu saiba, existam alguns poucos répteis que habitam montanhas, mas eles precisam ficar perto de fontes de calor). Se a espécie X for terrestre, não iremos procurá-la dentro de um rio ou no oceano. Se soubermos, por relatos históricos, que a espécie X habitava uma região bem específica, nós obviamente a procuraremos ali.Depois de tudo isso, há dois resultados possíveis para a sua busca: ou você encontra indivíduos dessa espécie (e geralmente serão poucos), ou você não encontra nenhum. No primeiro caso, fica mais fácil avaliar se espécie está melhorando ou indo para a extinção: um exemplo de espécie nessa situação é a vaquita, que está extremamente ameaçada de extinção, embora saibamos mais ou menos o número de vaquitas no mundo. Assim, se a espécie X for dizimada, fica mais fácil declará-la extinta, embora sempre haja a possibilidade de que não tenhamos contado direito o número de indivíduos. O segundo caso é um pouco pior porque, além dessa última frase continuar válida, você não tem ideia se você fez um trabalho de contagem direito ou não. Seja como for, mais trabalhos de contagem e detecção podem (e devem) ser feitos, e mesmo algumas evidências dadas por não pesquisadores (como vídeos e relatos de pessoas que moram no mesmo habitat da espécie) podem ser levadas em conta. Assim, o processo para considerar uma espécie extinta pode levar muitos anos e nunca chegar a um resultado conclusivo: o que geralmente dizemos é que, se muitos anos se passam e você não tem nem mesmo uma evidência crível da existência dessa espécie, ela muito provavelmente está extinta.Em alguns casos, quando a espécie X for muito grande e o seu habitat muito pequeno e fácil de ser verificado, fica mais fácil chegarmos a uma conclusão, digamos, conclusiva: se você tem, por exemplo, uma ave bem grande (como o dodô) habitando só um punhado de ilhas minúsculas, é muito simples verificar se a espécie está extinta ou não. Infelizmente, nem sempre esse é o caso.Mas voltemos à pergunta original: como é possível que um animal considerado extinto volte a aparecer? A resposta é simples: nem sempre conseguimos saber direito se uma espécie realmente está extinta e sempre podemos deixar de contar indivíduos porque temos que procurar em vários lugares, ou em lugares difíceis, ou os indivíduos são pequenos em relação à nossa área de observação. Mas o reaparecimento de uma espécie não significa que ela esteja particularmente bem: em muitíssimos casos, ela ainda precisa ser preservada."
"4","Se os humanos são baseados em carbono, existem criaturas vivas baseadas em outros elementos?","Poderia haver organismos vivos baseados em outros elementos além do carbono?Embora o carbono continue sendo o rei por sua capacidade de formar um número incrível de vários compostos, com potencial para 4 ligações por átomo, o silício é amplamente considerado como a próxima melhor solução, se você quiser criar a complexidade necessária para a vida.O silício, como o carbono, é muito comum em todo o universo e pode formar quatro ligações para formar uma química igualmente complexa. Os cientistas da Caltech usaram enzimas que sofreram mutações em um processo chamado “evolução direcionada” e foram introduzidas em uma bactéria chamada Rhodothermus marinus. Após três mutações sucessivas, eles foram capazes de produzir 20 tipos diferentes de compostos organo-silício.Isso pode estar muito longe do animal glutinoso, como mostrado na ilustração, mas prova o conceito, por assim dizer.Ilustração artística da vida baseada em organossilício. Os compostos de organossilício contêm ligações carbono-silício. Pesquisas recentes do laboratório de Frances Arnold mostram, pela primeira vez, que bactérias podem criar compostos de organossilício. Isso não prova que a vida à base de silício ou organossilício é possível, mas mostra que a vida pode ser persuadida a incorporar silício em seus componentes básicos.Crédito: Lei Chen e Yan Liang ((Beauty of Science) Caltech"
"5","Por que Alfred Nobel criou um prêmio que leva o seu nome?","Porque ele estava à beira da morte e não podia levar para o túmulo a imensa fortuna que ganhou com a invenção da dinamite…… mas não é bem isso. O químico sueco Alfred Bernhard Nobel morreu em 1896 e deixou em seu testamento que todo seu dinheiro fosse usado para premiar “aqueles que, no ano anterior, tivessem conferido maior benefício à humanidade”. Uma fundação foi criada para administrar a fortuna e cinco anos depois, em 1901, o Prêmio Nobel foi lançado.Já os motivos que levaram Nobel a distribuir tudo que ganhou podem ser atribuídas aos malefícios que a sua invenção trouxe. Apesar de ser considerado um pacifista, um jornal francês apelidou Alfred Nobel de “o mercador da morte”, enquanto muitos morriam, ele ficava cada vez mais rico e isso o fez sentir culpado. Para compensar o mal que a dinamite trouxe à humanidade ele pediu a criação do prêmio que leva eu nome.Quando o irmão de Alfred Nobel morreu, um jornal francês confundiu-o com ele. Então Alfred podia ver antecipadamente o que seria dito sobre ele quando morresse.Ele não queria ser lembrado como o mercador da morte e assim ele colocou sua grande fortuna em uma fundação que lhe traria uma boa reputação depois de sua morte.¡¡¡aguanTe Talleres!!!"
"6","Quais fotos científicas são difíceis de acreditar, mas na verdade são reais?","A Ciência das Ilusões de Ótica e de como seus olhos e mente funcionam em relação a elas é muito fascinante. Pronto para um passeio mental?Muito divertido , não é? Mas, está prá ficar melhor ainda. Aqui estão algumas outras imagens que você deve olhar entrecruzado para enxergar as imagens escondidas e coisas em 3D. Essas são chamadas de estereogramas.Estas imagens são cortesia do Telescópio Espacial Hubble, da NASA e da equipa do Hubble Heritage:(Infelizmente, não consegui apanhá-los ao telefone.)Estas são fotos reais. Eles não são desenhos.Esta é uma nebulosa espacial: tem de 4 a 5 anos-luz de altura. Chama-se Pilares da Criação. Você está a olhar para nuvens que estão ativamente a formar estrelas.Westerlund:Esta contém 3.000 estrelas e existe a 20.000 anos-luz de distância.A Nebulosa Cone:Foi construída sobrepondo 3 imagens com os filtros azul, infravermelho próximo e alfa de hidrogênio.A galáxia Sombrero:50.000 anos-luz de largura. 30 milhões de anos-luz de distância. O branco no meio é o núcleo da galáxia. Esta galáxia contém uma massa de 80 mil milhões de sóis.A Nebulosa Twin Jet:Pouco se sabe sobre ela.A nebulosa Ampulheta (Hourglass )Resultado de uma estrela que explodiu.Auroras em Júpiter:Beldade IC:Estes são os restos de uma estrela moribunda, IC4406.A última, esta é um cluster NGC 6388, um aglomerado de estrelas aqui mesmo na Via Láctea:Então, se existem 10 mil milhões de galáxias e 100 mil milhões de estrelas por galáxia, é difícil acreditar que não existe vida nalgum lugar.Seria assustador pensar que não havia vida naquela expansão aterrorizante.Recentemente foi tirada a primeira fotografia de um buraco negro.Muitas pessoas ficaram decepcionadas ao ver apenas a luz ao redor do buraco negro, mas, felizmente, os cientistas criaram algumas ferramentas para nos ajudar a entender.Os dois objetos acima não são círculos, mas esferas!O Vantablack (a substância usada acima) absorve 99,96% da luz visível, semelhante a um buraco negro!Nosso cérebro não consegue compreender como seria uma esfera sugando de todas as direções, e nossos olhos não conseguem detectar sombras de nenhum tipo ao observá-la.Até objetos mais detalhados, como uma máscara, ficam visivelmente planos! Nenhum ângulo revelará nada além de uma figura plana!Então, voltando ao tópico buracos negros, você não pode (e nunca será capaz) de ver um buraco negro, apenas os efeitos que ele tem no ambiente.Sem o anel de luz, a imagem abaixo seria completamente escura!Esse tipo de imagem pode ser difícil de acreditar (ou até observar), mas elas são completamente verdadeiras no campo da ciência!Um Garoto E Seu Átomo carrega o recorde mundial de menor filme do mundo.Para ele foi necessário quatro pesquisadores e duas semanas de 18 horas por dia de trabalho para fazer. Cada quadro mede 45 por 25 nanômetros*.Criado pela IBM usando átomos individuais e dois microscópios de escaneamento tunelar, esta stop motion** de 90 segundos é ampliada cerca de 100 milhões de vezes, e mostra uma figura de um garoto construída inteiramente de moléculas de monóxido de carbono brincando e dançando com um átomo.É preciso 1000 quadros desse filme lado a lado pra alcançar o diâmetro de um único fio de cabelo.O garoto quica seu átomo no chão e contra a parede como uma bola de tênis, e então pula pra cima e pra baixo em um trampolim molecular.Como pode ser visto pelas ondas de influência ao redor dos átomos, apenas a camada superior dos átomos está em foco, deixando a superfície de cobre borrada.Você consegue até mesmo ver as ligações entre as partículas, aparecendo como inclinações no espaço!Isso não é muito sobre um avanço científico em particular. O filme na verdade um assunto para crianças e outras pessoas falarem sobre - e com empolgação - matemática, ciência e tecnologia.Dr. Andreas Heinrich, IBM PesquisaComo alguém que trabalhou em algumas stop motions curtas no colégio, eu não consigo nem dizer quão absurdo é o nível de precisão envolvido em mover pequenos objetos um pouquinho por vez. Um erro e já era.Provavelmente foi por isso que eles abaixaram a temperatura até cerca de -260°C*** para que os átomos ficassem quietos.Eu não posso nem imaginar o nível de concentração exigido pra conseguir essas imagens.Ciência não é sobre por quê?, é sobre por que não?!Fontes:A Boy And His AtomAtoms star in world's smallest movieNotas da tradutora (informações adicionais):*: um nanômetro equivale a 0,0000001cm.**: stop motion é o nome dado a uma animação feita quadro a quadro manualmente, não há uma tradução comum para o português.***: -260°C é uma temperatura bem próxima do zero absoluto (zero kelvin) a qual onde os átomos, teoricamente, não se movem.Consegue ver?Aqui uma versão com mais zoom:Aquele pontinho é um único átomo, flutuando entre os pratos.O átomo de estrôncio recebeu uma carga positiva e os pratos foram carregados de forma que o átomo ficasse estacionário, e então jogaram laser nele e ele emitiu luz suficiente para ficar visível."
"7","Por que falam que os tubarões se confundem e pensam que nós humanos somos outra coisa, quando nos atacam? Como a gente supostamente sabe o que se passa na cabeça de um animal selvagem?","Não fique surpreso, mas sim: essa afirmação está correta, visto que a maioria dos ataques de tubarão acontecem por causa de identificação errada por parte deles. A explicação:Vamos pegar como exemplo o grande tubarão branco, provavelmente a mais temida de todas as espécies de tubarão. Sua presa principal são os leões marinhos, os quais ele geralmente caça embaixo d'água — e, no processo, ele usa um método chamado de rompimento, que consistem no tubarão nadar diretamente para a superfície a partir de uma posição de baixo, chegando a velocidades de cerca de 64 km/h.Pena que, a partir de tal posição, os tubarões brancos frequentemente se confundem e não conseguem distinguir entre surfistas — que usam roupas pretas — e focas, e por isso fazem o ataque não-provocado.Mesmo assim, os grandes tubarões brancos são inteligentes o suficiente para saberem que nós não somos comestíveis, e imediatamente param a caçada quando percebem a verdadeira natureza da sua vítima. Você deve se lembrar do seguinte: os tubarões não são tão perigosos quanto acreditamos, visto que eles nunca buscam caçar humanos, já que eles só se alimentam de comida marinha e qualquer coisa que contenha gordura de baleias ou focas. Por outro lado, os tubarões evitam qualquer coisa ossuda como o nosso corpo.Mas o problema é o fato de que os tubarões não têm mãos para administrarem o sentido do tato, e, para isso, usam suas bocas — basicamente, as mordidas dos tubarões são mais exploratórias do que predatórias. Infelizmente, só precisa de uma mordida de um grande tubarão branco (apesar das suas intenções inofensivas) para causar muitos danos em uma prancha de surf ou no corpo humano.Por sorte, como eu disse antes, os tubarões imediatamente soltam suas vítimas quando percebem que o que pegaram é um humano que, para eles, não é comestível. Eles não gostam de caçar humanos. E é por isso que ataques de tubarões são relativamente raros (menos de 12–80 por ano).Assim, apesar dos seus maxilares mortais e força de mordida tenebrosa, bem como suas reputações aterrorizantes, os tubarões não são tão malignos quanto as pessoas, de forma errada, julgam que eles são. Além disso, essas criaturas magníficas não são máquinas de matar, mas sim predadores poderosos que são muito úteis para os seus ecossistemas, e consistentemente melhoram suas habilidades de caça, com uma combinação de instinto e inteligência. Como eu disse, eles só comem comida marinha, nunca humanos.A respeito da parte final da pergunta, eu digo isso: é extremamente difícil para nós, humanos, identificarmos o que um animal está pensando ou sentindo — não estou dizendo que os animais não conseguem pensar ou de sentir, por que eles são capazes dos dois, mas não da mesma forma que nós."
"8","Afinal de contas, você usou a fórmula de Bhaskara para alguma coisa?","Já vi por aqui variantes desta pergunta, e as respostas do Walter e do Ademar são bem explicativas, mas vou abordar esta dúvida, que parece ser recorrente de um outro ângulo. Por que as pessoas não acham útil esta (e certamente outras) regras que aprenderam?Eu lembro quando estava na 3 série do ginásio (equivalente à oitava série do ensino fundamental hoje) que interpelei fortemente a professora Marisa do Colégio Jùlio de Castilhos em Porto Alegre sobre a inutilidade de aprendermos os produtos notáveis, aquilo do quadrado do primeiro mais duas vezes o…..Ela pacienciosamente tentou me explicar, mas eu não entendi nada na época, Hoje sou Engenheiro e é claro que já entendi há muito tempo. Inclusive a primeira disciplina que lecionei na UFRGS, no Curso de Tecnólogos em Curtumes e Tanantes em 1980, foi Cálculo. E ali também os alunos estavam indignados querendo saber onde iriam utilizar a derivada para curtir um couro !Acontece que no Ensino de Matemática se recorre a uma técnica que me parece errônea e vou usar uma analogia para explicar.Vamos supor que queiras ser carpinteiro e eu comece a te ensinar sobre o prego e suas característica, depois as propriedades da madeira, em seguida as propriedades do serrote, da plaina, da tupia e assim por diante. Vai ser muito chato e desestimulante.No ensino da matemática é exatamente assim. Se ensina todas as ferramentas necessárias para manipular e calcular os números primeiro para só depois de conhecer as ferramentas disponíveis tratar de usá-las para produzir um resultado prático, assim como para uma carpinteiro seria produzir um armário.Para de dar um pequeno exemplo do uso desta ferramenta, por exemplo, digamos que queres descobrir quanto tempo demora um lápis que atiras pela janela de um edifício para cair até o chão. Sem conhecer a fórmula de Baskara (ou como o Ademar diz) a regra para resolver equações de segundo grau, vai ser bem complicado.aqui conheces as distância até o chão D, a velocidade inicial e G é uma constante, só não conheces o t, claro que podes ir chutando valores de t até achar a resposta, mas Báskara resolve bem mais rápido e preciso.Neste exemplo vamos supor que atirei o lápis a 2 m/s e estou no oitavo andar ou seja a 32 m do chão. G= 9.8 m/s2 arredondarei par 10, logo:ouou na fórmula de báscara a=5, b=2 e c=-32como não existe tempo negativo vamos só tomar a soma da raizou seja na ausência de atrito com o ar o objeto demoraria 2. 34 segundos para chegar ao chãoOu num outro exemplo:Quanto tempo seria necessário para um homem obeso (200 kg) atrair um Cheesburguer (no espaço), distante de si 10 m, usando apenas a força de atração gravitacional de sua própria massa?Veja a minha resposta a esta pergunta, neste caso como parti de uma velocidade inicial igual a zero pude resolver com um Báscara simplificado pois com o b sendo zero e o tempo não sendo negativo a fórmula se reduz a:mas se o astronauta ou o cheeseburguer estivessem se movimentando teria que usar Báskara completo.Eu a uso o tempo todo, mas sob o seu nome genérico: equação quadrática.Ela - assim como seus irmãos polinômios de terceiro e quarto grau - são úteis na ciência de dados como funções de transformação e em métodos não-lineares. Por exemplo, digamos que depois de teres coletado e limpado teus dados apropriadamente, a dispersão que eles apresentam é como a seguinte.Se a pessoa só está acostumada a lidar com modelos lineares (regressão, por exemplo), vai ser bem complicado ela extrair uma formula preditiva (modelar) desses dados aí que seja útil. Baseado na linha de melhor encaixe, eu não me atreveria a utilizar aquela fórmula de regressão ali em cima (resultado=8.220+1.266*dado). O R² - a quantidade da variância explicada pelo modelo - é baixo (84%).Porém… Entretanto… Todavia… Para salvar o dia, aparece a função quadrática para normalizar esses dados, e então permitir que daí se extraia um modelo robusto, ou seja, confiável e capaz de prever algo! Repare que o R² nesse caso beira 99%, o que é tão bom que exigiria testes para overfitting. Repare também que o modelo já não é mais linear, mas sim não-linear, por ser quadrático (resultado=3.241+3.564*dado-0.1915*dado²) - o modelo já é sofisticado o suficiente para receber relações inversas entre si (adição e subtração, além da exigida exponenciação).Aí tu deves estar pensado:Chato pra caralho.Assim, no nível do abstrato, é chato mesmo. Agora imagine se tu fizeres uma pesquisa, e o teus dados tiverem essa forma. É assim, com um modelo não-linear da tua escolha, que tu vai tentar tirar daí uma fórmula para prever o que vai acontecer no futuro, dadas as mesmas condições.Um tipo de dado que eu consigo imaginar com essa forma é, plotados em coordenadas cartesianas, idade no eixo x e capacidade de explosão muscular (CEM) no eixo y. Se tu quiseres tentar criar uma fórmula de variação de CEM durante a vida de uma pessoa (que pesquisas mostram que atingem um pico durante a vida adulta e declina durante a senescência), tu irias ter que seguir métodos aleatórios de coleta de dados, depois tratá-los e então aplicar uma técnica de regressão não-linear - provavelmente quadrática ou polinomial de 3º grau devido ao tamanho da curva que será plotada. Para que fique bem claro, o modelo gerado seria, por exemplo:[math]CEMestimada=3.241+3.564*idade-0.1915*idade²[/math]Claro que uma pesquisa em fisiologia do exercício não construiria um modelo utilizando somente uma variável preditiva, pois é evidente que outros elementos estão envolvidos no ganho e perda de capacidade explosiva muscular durante a vida das pessoas. O modelo mais adequado seria multivariado sem sombra de dúvidas. Mas acho que deu pra entender o tamanho da utilidade das equações de segundo grau para a estatística, né? E olha que eu nem vou falar na parte computacional da estatística.A própria fórmula de Bhaskara eu raramente utilizo, porque normalmente os dados que modelo apresentam outros tipos de dispersão (exponencial, logarítmica, etc), mas eu acho simplesmente fantástico que ela carregue o nome de uma pessoa tão ilustre, um verdadeiro sábio, o pioneiro do cálculo diferencial, essa maravilha tecnológica sem a qual só teríamos estruturas de engenharia em forma de arco na base do freestyle. Salve Bhaskara II!Viu que útil? Por isso eu digo: matemática é um negócio lindo.Afinal de contas, você usou a fórmula de Bhaskara para alguma coisa?Eu vou ser ainda mais simplista que o pessoal que já deu boas respostas aqui.Digamos que eu queira botar nos muros deste terreno…… isto aqui:Eu vou gastar quanto? Calcule sem ter que sair de casa e medir o terreno..........Lado menor: xLado maior: x+2Corte em 2 pedaços.Um vai ter a área (base x altura) = x².O outro vai ter 2x.Então x²+2x=80Logo, x²+2x-80=0.Pode usar a fórmula aí, não???Os valores de x podem ser 8 e -10. Como não dá para ter tamanho negativo… x=8.Agora sabemos que é um retângulo de 8x10mEntão o perímetro é 36m.Considerando o preço da concertina e que só vende pacote de 5m…8 pacotes, ou seja, eu vou gastar R$280,00, fora mão de obra.Você pode não ter usado, mas aqueles que ganham dinheiro em cima de você , que têm poder sobre a sua vida e que controlam quase tudo o que você compra, come, veste, etc certamente usam. Nao soh a fórmula de Bhaskara, mas o Teorema de Green, a estatistica Bayesiana, a noção de gradiente, a teoria de jogos, a lógica difusa, a logica de primeira ordem, e milhões de outras coisas que parecem inúteis para quem está estudando .No fundo o mundo se divide entre aqueles que são usuários do conhecimento (e pensam que muita coisa eh inútil ) e aqueles que são produtores de conhecimento (e que sabem que toda ciência eh em princípio útil).Os primeiros pagam, os segundos lucram.Primeiramente uma coisa bastante peculiar:A fórmula de bhaskara não se chama bhaskara, não no resto do mundo, pelo menos.Bhaskara é o nome que demos a ela aqui no Brasil desde os anos 60, mais ou menos. O motivo é incerto, mas se um dia você for estudar ela e tiver que procurar por fontes em outro idioma, esqueça procurar por bhaskara ou então, adivinhe: você não encontrará nadinha. Isso porque nos outros países ela é chamada de equação quadrática ou ainda uma equação de segundo grau.Estes nomes oficiais se devem ao grau do polinômio e fazem bem mais sentido. Por exemplo, você deve lembrar que a bhaskara tem os seguintes termos b² + a + c, certo? Isso é o mesmo que dizer que ela tem x² + x. Assim, o grau dela é 2, que é o valor máximo ao qual algum dos x da função está elevado. Por isso se chama equação de segundo grau ou equação quadrada. Se fosse x³ + x² + x estaríamos falando de um polinômio de terceiro grau ou equação cúbica e assim por diante.Eu já usei a equação de segundo grau para resolver uma questão bem inusitada.Há muito tempo atrás eu me meti a fazer uma tábua de passar roupa que presta, de madeira maciça e alta para não doer as costas.Na hora de desenhar a ponta da tábua de passar roupa, todos desenhos que eu fazia ou ficavam esquisitos ou ficavam tortos e desproporcionais.Não deu outra. Saquei uma equação de segundo grau, desenhei a parábola na tábua e a cortei.Ficou bom. Existe até hoje.Se usamos a referida fórmula para resolver alguma prova na escola todo mundo já usou. Existem conceitos mais inúteis e limitantes na formação de uma maneira geral que o supracitado artifício matemático.Para quem não é matemático ou trabalha em profissões com inclinação pra essa área, os conhecimentos mais importantes são estatística e matemática financeira.Eu nunca usei desde que saí da escola haha"
"9","Se a maioria dos macacos são herbívoros, por que o homem é carnívoro?","Não são. Os primatas (chimpanzés, bonobos e gorilas) comem carne. E os homens não são carnívoros. Somos - nós e outros primatas - onívoros."
"10","Qual é a forma correta de punir um cão, sem abusar dele?","Bem, aqui está o truque. Uma verdade universal que os humanos não querem encarar, porque revelaria o quão dominados por instintos eles são. Veja, em um bando de macacos, macacos que fazem coisas que perturbam outros macacos e que não estão em posição de poder são suprimidos pelos outros macacos — eles são punidos. Isso os prejudica — causa danos psicológicos e até físicos devido ao estresse, a longo prazo. Essa punição é aplicada como castigo por comportamentos perturbadores, por não ser forte e saudável, e por classe — por não nascer em uma família dominante. Isso faz com que os macacos punidos fiquem menos saudáveis, então eles se reproduzem com menos sucesso.E os seres humanos são exatamente iguais. O instinto é tão profundo, que os humanos realmente se convenceram de que ele é moral. Ou, pelo menos, que partes dele são. De que ele é justificável. De que ele é POSITIVO. E, pior ainda, eles se convenceram de esse instinto pode forçar outras pessoas a mudarem de comportamento e se tornarem melhores ou mais aptas.Obviamente, ele não pode. Esse nunca foi o objetivo, entende? O castigo não muda nada, apenas suprime, estressa e fere. E não importa se é um cachorro ou um humano. Todos os mamíferos são muito parecidos.Você sabe o que influencia o comportamento sem causar danos? Recompensa. Recompensa positiva. Só isso. A menos que você esteja querendo criar uma fobia, é claro.Não há justificativa sensata para punir um cachorro. Fazer isso apenas resulta apenas em uma lesão que você inflige a eles porque é você é emotivo e não controle controlar seu próprio comportamento.Não. Se você quer treinar um cachorro, deve usar recompensa. Você recompensa o bom comportamento com algo que o cão deseja — sua aprovação, seu carinho, comida, brinquedos, brincadeiras, o que quer que seja. E você retira uma recompensa por mau comportamento. Você não dá atenção, nem carinho. Você vira as costas e manifesta seu desinteresse e desaprovação em silêncio. Os cães instintivamente entendem a linguagem corporal humana. Eles entenderão.Eles realmente vão entender, eu prometo.Você precisa comunicar o que deseja ao seu cão, de uma maneira clara que ele possa entender. Eles não falam idiomas humanos — você precisa mostrar ao seu cão o que fazer através de ações, e sempre, SEMPRE, estar ciente do humor do cão. Se você ver um humor ou atitude que você não gosta, retire-se — não recompense.É realmente simples assim. Sem punição. Nenhum dano. Seu cachorro vai querer agradar você. Ele quer sua aprovação e seu amor. Isso é instintual dele; foi feito pra ser dessa maneira. Tudo o que você precisa fazer é mostrar pra ele como ele pode conseguir essas coisas, e sua própria química cerebral fornecerá a recompensa.Significa apenas que você deve abandonar os seus instintos de primata e começar a fazer o que realmente funciona."
