"id","question","answers"
"1","O que os portugueses daqui pensam a respeito da feijoada brasileira? Agrada o vosso paladar?","Morei seis anos no Brasil e comi feijoada à brasileira uma vez!Anos depois fiz feijoada à Brasileira em Portugal. Na época custou-me os olhos da cara. Comprei carne seca importada daí, lombo de porco salgado (Se bem me lembro fui eu que o salguei dias antes) e paio português, que foi bastante caro.Fiz mal. Os meus filhos, que nunca foram ao Brasil, não querem outra feijoada. Faço com farofa, mas só gosto de farofa simples, ligeiramente torrada em manteiga. Faço com couve à mineira. Não esqueço as rodelas de laranja. Só o molho verde é que dispenso. Talvez não saiba fazer.Naquele dia estava todo brasileiro. Comprei também guaraná. A avó da minha mulher quis saber que bebida era aquela. Quando expliquei que era afrodisíaca, ela disse: Então enche o copo (!)1 - Portugueses daqui? De onde?2 - O que posso dizer é que, regra geral, TODOS os portugueses gostarão de feijoada. Incluindo a brasileira.3 - Acredito que feijoada agrada sempre ao gosto do português!Sim muito. Em minha casa faço feijão preto todas as semanas para acompanhar carne ou só com arroz.Em casa de meus país era usual a feijoada a brasileira aos domingos.É um prato que me acompanha desde sempre e que todos adoramosAdoro.Não posso dizer que é a minha favorita, é difícil de bater uma feijoada à transmontana, mas de vez em quando uma picanhinha tenrinha (só é assim que se come bem) com toscana, farofa, arroz, batata frita, couve e por fim feijão preto sabe bem.Mesmo bem.O Brasil tem dezenas de maravilhas gastronómicas.A feijoada é uma das melhores. Sobretudo com cerveja brasileira (a que eu mais gosto no mundo), caipirinha para aperitivo e cachaça para terminar.E soneca pra terminar…Depende onde é comida. A qualidade do ar e altitude transformam qualquer iguaria, feita pelo melhor cozinheiro num prato normal. Mas regra geral sim nos gostamos da vossa feijoada porque é nos familiar e qualquer pessoa gosta das comidas a que está habituado.Adoro feijoada brasileira, como quase toda semana. Em Portugal também comia, em restaurantes brasileiros. Acho o feijão preto delicioso.A feijoada brasileira é muito consumida em portugal, pelos portugueses, nos restaurantes que a sabem fazer.Gosto muito de feijoada à Portuguesa.Mas quando tive no Rio, não resisti.Absolutamente espectacular!"
"2","Quais são alguns molhos essenciais que todos os amantes de culinária deveriam aprender a cozinhar?","Aioli, por exemplo."
"3","Qual o prato feito por você que todos gostam? Partilhe a receita.","Ossinhos FritosIn: Ossinhos FritosEste prato está sem dúvida no top de receitas lambareiras lá de casa, isto come-se que nem tremoços!Cada vez que faço estes Ossinhos é uma alegria, e é simplesmente um agrado para os miúdos comerem, pois praticamente não precisam de talheres para acabar a refeição e dá-lhes a desculpa para poderem comer como uns selvagens...Mas na verdade não é só apenas com os miúdos que este prato faz sucesso, não é a primeira vez, nem com certeza será a última que junto a famelga toda à mesa para comermos um piano de porco, preparado de uma maneira original e bastante saborosa!Grau de dificuldade: Qualquer Bimby Faz Isto <=> Fácil Tempo de preparação: 90mCusto: MédioPorções: 6Ingredientes2 Pianos de Porco1 Cabeça de Alhos1 Colher de Sobremesa de Massa de Pimentão2 Limões Grandes2 Folhas de Louro GrandesPimenta/Piri-Pri qbSal qbMistura de Óleo e Azeite (para fritar)Notas sobre os ingredientesNaturalmente e como qualquer outra receita, o segredo aqui está na qualidade e frescura dos ingredientes, mas nesta em especial, na carne!Peça no talho os pianos de porco com pouca carne, pois se tiver uma altura de carne muito grande, além de demorar mais a fritar, faz descer muito a temperatura do Óleo / Azeite e carne irá cozer em vez de fritar e ficar bem estaladiça! Diga ao talhante para cortar a carne aos quadrados, ou seja separar cada osso do piano e depois dividir esse mesmo osso, em duas ou três partes, consoante o tamanho.Tente usar limões sumarentos e com casca bem aromática, pois o liquido do tempero é apenas do limão, se achar que é pouco, não faz mal, junte outro limão!Numa nota final, falo sobre a massa de pimentão, que deverá ser de boa marca. Digo isto, porque por vezes algumas marcas têm uma massa de pimentão pouco aromática, que até parece que o sabor não passa para os alimentos! Em algumas coisas mais vale gastar um pouco mais, que ficar mal servido.... Eu pessoalmente, quando não tenho massa de pimentão caseira, costumo usar da marca Maçarico, é boa de sabor, e razoável de preço!PreparaçãoComece por colocar a carne numa taça larga de preferência com tampa e tempera-a de sal e pimenta/priri-piri;Separe os alhos, esmague e parta-os grosseiramente com a mão (eu junto a casca e tudo). Retire a nervura principal do louro, parta as folhas em pequenos pedaços e adicione tudo à mistura;Ainda sem nenhum líquido na mistura, envolva bem os temperos com a carne e dê-lhe uma boa esfregadela, para nos certificarmos que a mistura de ingredientes fica homogénea;Adicione as duas colheres de sobremesa de massa de pimentão.De seguida corte os limões a meios e esprema-os para a mistura, mas não os deite já fora! Corte a casca em pedações pequenos, cerca de oito, e adicione também. A casca vai ajudar a aromatizar a carne...Envolva tudo muito bem, e deixe repousar pelo menos 30m. Se tiver tempo, o ideal seria 2h de descanso no frio, em que periodicamente volta a envolver bem os temperos. Daí ser pratico uma taça com tampa, pois basta virar umas quantas vezes e já está;Aqueça uma mistura em partes iguais de Óleo e Azeite;Assim que o óleo estiver bem quente vá colocando os ossinhos a fritar, livres de pedaços de alho, louro e restos de limão. Não coloque muitos ossos de cada vez, vá testando a quantidade a colocar, pois se colocar muitos a temperatura desce demasiado e não ficará tão bom;Quando os ossinhos estiverem fritos (quando a película que envolve o osso começar a encolher e o osso se começa a ver), retire-os do lume ponha-os a descansar num tacho juntamente com alho que sobrou do tempero, o limão e molhe-os ligeiramente com o líquido que sobeja! Tape o tacho e mantenho-o quente;Repita o processo até estarem os ossinhos todos fritos.Acompanhe com uma salada de agrião (combina perfeitamente com este prato pelo seu toque acre), e com um pão malandro. Bom apetite!Sugestão de acompanhamentoEu sou muito fã de vinho tinto, aliás como já devem ter reparado, por isso sou suspeito, mas acho que combina muito bem com este prato.Por isso aconselho um M.J. Freitas Tinto um vinho bastante saboroso e que para o que nos proporciona, não o acho nada caro!Mais uma vez espero que apreciem, mas sobretudo que partilhem com os vossos amigos e família a receita que aqui vos coloco!Obrigado..."
"4","Além do gosto, qual a maior diferença entre a margarina e a manteiga?","Margarina é vegetal feita de óleo hidrogenado e manteiga é feita do leite da vaca. Ambas tem muitas calorias, mas dê preferência à manteiga por ser mais natural, a margarina dizem que a molécula fica próxima do plástico…A manteiga é feita de gordura leite de vaca, a margarina é feita de gordura de vegetal interesterificada ou hidrogenada.Ambos são principalmente gordura, ambos engordam e em ambos está associado risco para a saúde e devem ser consumidos com moderação.Na verdade, margarina já foi feita de um monte de coisas - incluindo óleo de baleia (a original). Coma manteiga,A margarina é neutra e não engorda"
"5","Qual é uma receita de bacalhau barata, fácil e saborosa?","Uma receita de bacalhau muito tradicional em Portugal é o bacalhau à Brás, é muito simples e rápida de preparar, barata e saborosa. É muito comum encontrar este prato nas ementas dos restaurantes portugueses. Os ingredientes principais sao o bacalhau, batata frita palha e ovos.Dica, existem variantes recentes em que se troca o bacalhau por atum enlatado e também uma variante vegetariana em que em vez de bacalhau se usa alho francês/alho poró (acho que é assim que se diz em pt-br)Fica aqui o link para o vídeo da receita. Bom apetite.Uma receita fácil e saborosa é sem dúvidas a famosa bacalhoada. Que leva em seus ingredientes batatas, pimentão, cebola, tomate, azeitona e um bom azeite. Com um arroz branco e um boa escolha de um vinho está pronto um belo almoço de domingo.Tem várias.Só pesquisar no Youtube :)receita de bacalhau simples"
"6","Qual é a melhor pizza da Europa?","Eu já comi possivelmente em todas as pizzarias por toda a Europa, em cada e todo país da Europa.De longe, a melhor pizza que eu já comi é Da Michele em Nápolis, na Itália.Na cidade de Nápolis que a pizza foi inventada. Da Michele é a pizzaria mais antiga da região, eles apenas servem dois tipos de pizza em 3 diferentes tamanhos.Se você se considerada um amante inveterado de pizza e gostaria de fazer uma peregrinacão ao berco da pizza, então eu recomendo que vá à Da Michele.Uma ótima pizza é um trabalho artístico!Aproveite!Os artistas trabalhando…Impossível responder, ninguém, mas mesmo ninguém, poderá respobder a essa questão sem ter comido em TODAS pizzerias da Europa. E essa estorinha da Michelle em Nápoles é mito."
"7","Qual é a maneira mais fácil de descarcar alho? Como não ficar com a mão cheirando a alho?","Amassando o alho com o cabo da faca fica muito fácil, pois a casca se solta. Para não ficar com o cheiro nas mãos, é só passar nas mãos um objeto de aço inoxidável embaixo da torneira aberta, como por exemplo uma faca que seja toda em aço, que retira todo o cheiro."
"8","Qual é a receita mais simples de doce que você conhece?","Eu, novamente no modo louco, estou respondendo minha própria pergunta.O motivo é que, por mais simples que sejam as respostas que eu obtive, poucas foram as vezes que eu tinha os ingredientes para fazer alguma das receitas.Então, levando em consideração a imagem daquele aluno de faculdade, que não tem uma lata de leite condensado, batedeira, leite de coco, frutas etc.O que todo mundo geralmente tem? Açúcar, chocolate em pó, água… desconsiderando o miojo, esses elementos costumam ter na casa.E, convenhamos, não queremos esperar horas para preparar algo e depois ter que lavar toda a louça.Queremos algo rápido, doce, somente para saciar a vontade.Pois bem… com os testes que eu fiz, aprendi um conceito que eu chamo de modo pedreiro… não, não é comer de colher (mesmo eu comendo).Sabe quando o pedreiro prepara o cimento? Ele coloca todo aquele pó e vai adicionando água? Bom, descobri que o mesmo acontece com o chocolate em pó, quando se adiciona pouca, muito pouca, água.Você percebe que a água não dissolve o chocolate, parecendo uma bolha, no entanto, se você ficar misturando, ela começa a ficar pastosa, igual a uma massa de cimento…É aquele momento que você pensa… caramba, tá tão consistente que daria para fazer uma bolinha… tipo um… brigadeiro…Então, o que eu resolvi fazer?Bom… Chocolate do padre é chocolate puro, e a palavra chocolate ao leite, deve ter leite…Vou misturar umas 3 colheres de sopa de chocolate em pó (do padre) com uma colher pequena de chá de leite em pó (eu tinha em casa) e uma 1/2 colher de chá de açúcar com algumas gotas de água, até ficar uma massa que dê para enrolar… e cobrir com chocolate em pó essa bolinha que eu fizer!E assim nasceu a fábrica de brigadeiros gourmet… mentira… só saiu uma bolinha de chocolate para eu saciar minha gordice mesmo…Mas foi rápido, simples, com poucos ingredientes (dá certo sem usar o leite em pó também). Imaginei se alguém utilizaria isso para fazer alguma receita e obtive os seguintes resultados:https://www.tudogostoso.com.br/r...https://www.tudogostoso.com.br/receita/143461-brigadeiro-com-leite-em-po.htmlEu pensava que somente seria possível fazer o brigadeiro com leite condensado, mas estava enganado, fiz recentemente (tipo ontem) um brigadeiro de leite em pó com a seguinte lista:8 colheres de sopa de leite em pó cheias (usei leite ninho)4 colheres de sopa de chocolate em pó do padre (tentei não usar muito porque essa coisa é muito caro)4 colheres de sopa de açúcar (convenhamos, se as pessoas lá fora dizem que brigadeiro do Brasil é ruim porque é muito doce, então vamos reduzir no açúcar e economizar… foi uma boa desculpa, não?)2 copos de água (usei copo pequeno, daqueles de padaria para tomar o café no copo, americano, sei lá…)Ficar mexendo até começar a ficar mais durinho (ele endurece mais depois quando esfria). Se alguém é chef que nem eu, deve ter se perguntado qual é a droga do ponto de brigadeiro… aí vai:cortesia de: Receita de Brigadeiro Gourmet - Brigadeiro de ChocolateColoquei a porcaria da meleca na geladeira e, para minha surpresa, até que ficou bom… só que cozinhei muito pouco e ficou um pouco mole demais para fazer bolinhas, mas dá pra considerar como um brigadeiro de copo.Enfim, fica a dica para quem não tem nada em casa e é gordinho como eu.Mais fácil que brigadeiro?Doce de leite ninho.É só misturar numa tigela leite em pó com açúcar e leite de coco até ficar em ponto de enrolar.Para ficar mais fácil ainda, só se não enrolar e comer de colher.A receita mais simples que eu conheço e sei fazer é doce de banana nanica:quando a banana começa a ficar bem pintadinha gosto de reaproveitar e fazer um doce que vai muito bem acompanhado de queijo frescal na sobremesa.Levo duas xícaras de açúcar ao fogo brando, espero caramelizar, amasso oito bananas médias e junto à calda e não paro de mexer até que o doce se solte da panela. Fica uma pasta avermelhada muito parecida com goiabada.Pegue bananas bem maduras, corte/pique, panela com fogo baixo pingando água de vez em quando, mais canela em pó. Terá um doce de banana rápido, fácil, delicioso, e sem (desnecessariamente) adicionar açúcar.São diversas:Misture maracujá ou limão com leiten condensado e ele ja ganha uma consistencia de um mousse.Banana caramelada é uma delícia. Por na frigideira a banana com açúcar e deixe caramelizada e cozinhar. Com uma bola de sorvete de creme fica fantástico.Brigadeiro é uma receita bastante simples que todo mundo conhece."
"9","O que é uma comida típica russa além de borscht, pão preto e vodka?","Poxa, tem várias coisas.Durante uma refeição russa, como o jantar, são servidos os aperitivos frios ou quentes, que chamam de zakuski e constitui a mesa tradicional dos russos, a zakuska. Pode ser a Salada Russa (Столичный салат, или Салат Оливье) que é uma salada de maionese agridoce de frango, batata e legumes (alguns em forma de pickles); caviar feito com peixes, com legumes (de berinjela, Баклажанная икра); com cogumelos (Грибная икра); outros pratos com beterraba (salada agridoce, vinagrete, etc), dentre muitos outros.Durante o século XIX, o apetite dos tsares também levou a criação de pratos requintados, como o Estrogonofe de carne (Бефстроганов), Frango Kiev (Киевские котлеты, um frango empanado recheado com manteiga de ervas); Tortas russas (pirog, Пирожки) com recheios doces ou salgados, além de outros.Também existem pratos feitos para comemorações, como o blini(Блины), que é uma panqueca de trigo sarraceno feita durante o final do inverno e o kulich (Кулич) um pão com frutas coberto com glacê que é feito para a Páscoa (parece um panetone).E ainda há as especialidades regionais, como frango circaciano (Курица по-черкесски).Há muito a se explorar na culinária russa. É muito rica…Como gosto de ler sobre a culinária do mundo, tenho vários livros. Recomendo esse que fala sobre esses pratos e um pouco da história deles.Zazúski.Você pode chamá-lo de tapas russos. No entanto, em comparação com aperitivos europeus, eles são um pouco diferentes.Você precisa aumentar dez vezes a variedade para ser servido. Pode ser qualquer coisa, de pepinos e tomates grosseiramente picados a cortes elaborados, em camadas e decorações de saladas e frios.Você precisa escalar no montante para ser servido. A ideia é que qualquer pessoa na mesa seja capaz de absorver o conteúdo do seu coração desde o início. Se nômades errantes ou executores do governo entrarem em ação antes que o prato principal seja servido, ninguém precisa morrer com fome.Saladas estão super-representadas. Os poloneses e judeus nos ensinaram que a escassez de comida pode ser superada com grande sucesso se cortarmos a comida pequena o suficiente para camuflar a real quantidade. Os anos conturbados do ascetismo soviético levaram nossas saladas a outro nível completamente.Nada deve ser seco, grosso, picante ou duro em seus dentes o suficiente para exigir água ou outros líquidos para serem lavados. Muitos zakúski estão literalmente pingando crème fraîche, maionese, óleo vegetal e outros lubrificantes. A vida é muito difícil, como é gastar nossas energias mastigando comida e baixando a escotilha.Abaixo, você vê uma pintura do Presidente Putin conversando no silêncio de um típico russo dacha(“Casa de campo”) com Alina Kabayeva, presidente do National Media Group, o maior conglomerado de mídia da Rússia. Além da garrafa do que parece ser um clarete, na frente deles há um alinhamento rápido de sofás que nós, russos, geralmente servimos para os hóspedes que queremos ver adequadamente tratados e alimentados, mas não tente tratá-los fora de proporções.Da esquerda para a direita: pernas de frango, muito provavelmente defumadas; pão (usado para equilibrar a quantidade de lubrificantes pingando no seu prato); algo de inspiração mediterrânea, considerando o ridiculamente pequeno disco; tomate cereja; pepinos de bebê; Ravioli russo; Mini pizza; um tipo de peixe, provavelmente fumado.A razão pela qual essas duas pessoas poderosas e abastadas optaram por um cardápio relativamente pouco sofisticado é simples. Pratos mais elaborados exigem atenção humana de cozinheiros e ajudantes que trazem e limpam pratos. Com os sofás à mão, eles podem simplesmente mandar todo mundo embora e discutir a política de mídia nacional sem serem perturbados.Abaixo, um mashup de Internet “Slav Breakfast at Tiffany's” Conceitualmente, isso é um exagero, porque uma mesa festiva como essa nunca seria definida antes do almoço, devido a desafios logísticos óbvios. Mas por outro lado, dá uma boa ideia do que você pode esperar como convidado em uma casa russa antes do prato principal ser servido.Tome nota do número de saladas. Existem pelo menos 11 delas. Para os vegetarianos que não comem os frios na frente de Audrey Hepburn, ou as galinhas à direita, há uma opção de salada de arenque e um peixe defumado de água doce decorado com pimentos, ovos e salsa. Para possíveis propagandas de comida, há limões fatiados, ameixas (geralmente recheadas com algo que tem nozes e alho), e azeitonas recheadas.Audrey Hepburn, como uma socialite experiente, é inteligente no que faz. Diante da enormidade da próxima festa, ela tem um pirozhók e um copo. Agora, olhe para ela e aprenda com os prós:Pirozhók dá-lhe uma mobilidade que você não tem com um prato, faca e garfo. Você pode fazer um retiro para qualquer canto da sala em um lanche se o cara ao seu lado esqueceu de tomar um banho esta manhã. Você está totalmente desapegado da cadeira onde você ficou primeiro.Seu controle mordiscando o pirozhók não revela a ninguém que você não comeu nada, em preparação para o início dos pratos principais. Se alguém tentar forçar você a comer, como os verdadeiros russos hospitaleiros são obrigados, você diz que está comendo o quinto pirozhók Porque são tão insanamente bons. Você não tem um prato onde os anfitriões podem começar a acumular algo ainda mais insanamente bom sem sequer perguntar-lhe.A taça que Audrey está segurando não é transparente. Ninguém sabe o que ela está bebendo. Se alguém perguntar o que é isso, ela pode alegar qualquer coisa, desde água até o fabuloso luar de cereja do anfitrião. Você afugenta as pessoas que tentam superar seus desafios, porque você “acabou de superar”."
"10","Qual foi a causa da morte do famoso chef Anthony Bourdain?","Suicídio por enforcamento, com o cinto do roupão. Bourdain era um ex alcoólatra e viciado em drogas, então pode ter tido um quadro depressivo."
