"id","question","answers"
"1","Qual conselho você gostaria de ter recebido antes de ser pai/mãe?","Eu fui pai aos 40, então estava bem preparado, minimamente pela experiência de vida, eu tinha uma boa noção de onde estava me metendo! :)Então, acho que de alguma forma recebi todos (ou quase) que precisava.Repasso alguns que realmente devem-se ter em conta claramente:Treine (transe) bastante antes de engravidar! (Sim, pai também engravida!!) Porque depois a lembrança desses deliciosos momentos te ajudarão a reconquistar a libido do casal.Se você quer realmente apenas sexo, use camisinha, ponha um DIU, tome pílula e siga a tabelinha!! (Sim, há ainda uma rara possibilidade de engravidar com tudo isso junto!) A camisinha rasga, o DIU sai da posição, o organismo se acostuma com o hormônio da pílula e esta se torna fraca, e por fim, o ciclo menstrual pode adiantar ou atrasar! BINGO!! Você vai ser papai/mamãe! Sexo foi inventado pela mãe natureza para a REPRODUÇÃO! Lembre-se disso.Sabe aquele namorado gostosão, malhado, ou aquela namorada tesuda, toda durinha?! Já era. Agora a fase é do AMOR, independente da aparência. Agora o tesão está no olhar, no carinho, na confiança, na parceria.VIAJE ! Conheça lugares, curta tudo que quiser e puder ANTES. Essas lembranças te ajudarão a ter uma sensação de plenitude quando estiver com seu bebê ao colo.Dedique-se ao máximo aos seus projetos pessoais e carreira ANTES de engravidar (já disse, estou falando de homem também!). Depois isso será quase impossível, sob pena de colocar a vida de seu bebê em risco por não lhe dar a devida atenção.Tenha reservas financeiras, provavelmente precisará delas. E esqueça aquela coisa de fazer contas, cálculos de quanto custa um filho… Coisa mais ridícula! Entenda, é simples, um filho custa a sua vida! E você agradecerá todos os dias por isso!Eu fiz tudo isso, viajei pra todo lado que quis, paquerei e namorei quem me interessou, trabalhei e estudei loucamente pra alcançar meus objetivos, e hoje, não sinto falta de nada disso.Tenho três adolescentes, e agora, um bebê de uma semana!Ainda sigo estudando e investindo na minha carreira, mas é praticamente um regime de manutenção, nada a ver com aqueles primeiros anos.Curta a vida e, quando chegar a hora, ser pai/mãe será a melhor coisa que lhe poderia acontecer.Peace and Love.Na verdade recebi muitos, mas o que digo é ouça pessoas e selecione o melhor pra você. Vai vir uma enxurrada de conselhos, alguns com cara de desabafo, ou crítica, mas você vai ter que pesar o que acontece, o que você tem, e como vai conseguir fazer. alguns conselhos só apliquei anos depois, alguns eram pura manipulação e alguns foram imediatamente pra lixeira.Detalhe, ouça tudo, mas pra permanecer próximo e no dia a dia, são poucos que realmente ajudam. Selecione pra esses momentos pessoas de confiança, pois fofoca pode atrapalhar demais.É uma caixa de surpresa.São muitos conselhos e talvez nenhum sirva.Mas vou e deixar alguns de um pai.Tenha um plano de saúde para seu filho, mesmo que isso custe bemm caro.Deixe bem claro para seu filho que não é não.Se tiver mas de um, faça com que permaneçam sempre juntos.Não os deixem com medoEles aprendem olhando, então cuidado com o que eles vêem.Incentive sua criatividade.Filtre e as vezes limite a opinião de terceiros em assuntos de seus filhos."
"2","Como é passar o dia dos pais sem a figura paterna?","Uma amiga minha tem uma história muito triste relacionada a esta pergunta, normalmente não gosto de contar a história de outras pessoas pois é muito pessoal, mas neste caso, por ser algo que eu acho importante de ser compartilhado, e respeitando o anonimato dela, resumirei um pouco da história que ela me contou para conseguir responder esta pergunta.O pai abandonou a mãe dela quando ainda estava grávida, nunca quis nenhum contato com a filha, fez apenas o que a lei lhe obrigava que é arcar com a pensão.A mãe porventura se casou novamente e o padrasto desta minha amiga a tinha como filha, até que determinado momento quis registrá-la em cartório.Foi a família atrás do pai biológico para que regularizassem o registro, minha amiga queria muito ter pelo menos uma conversa com o pai, algum encerramento de ciclo, pingos nos is, mas ele se recusou a recebê-la durante todo o processo de transferência de paternidade.Assinou os papeis que lhe desvinculavam a menina que ele ajudou a conceber e sequer um aperto de mão lhe concedeu. Sei que foi tremendamente doloroso, minha amiga tem um padrasto que a ama como filha, mas vivenciou uma rejeição humilhante.O dia dos pais pra ela é uma lembrança mais pungente deste episódio que a marcou tanto. Acho que um pai ausente é uma ferida dessas que nunca fecham, e em momentos como o dia dos pais sangram de novo como se fossem recém abertas.Milhões de brasileiros passam uma vida sem figura paterna, o dia dos pais é mais um dedo na ferida desta questão tão pouco discutida que é o abandono paterno. As histórias de abandono são diversas, cruéis, dolorosas, humilhantes… é uma data que entristece, me faz pensar neste problema que pra mim é intimamente relacionado ao machismo.Complicado responder essa pergunta sem revirar feridas que eu não admitia pra mim mesmo que existiam. A resposta curta: é doloroso!Eu parto do princípio que a ausência da figura paterna se dá para um tipo de pessoa: aqueles que são órfãos. E na sociedade há dois tipos: o órfão de pai morto e o órfão de pai vivo. E deste segundo tipo tem mais dois tipos, o pai vivo/morto que você conhece, que foi pai até o momento de te registrar e nada além, e o pai vivo morto que sequer te assumiu.É muito doloroso passar uma vida sem uma figura paterna seja qual o for motivo, não quero chover no molhado do drama clássico, mas é uma dor legítima e pela primeira vez me permito falar/escrever sobre ela.Eu tive o pai vivo/morto que me assumiu e depois sumiu. Ele me registrou, nos víamos em alguns natais, aniversários e nada mais. Não pude contar com ele em momentos realmente significativos da minha vida, bem como não participei de momentos importantes da vida dele. É estranho porque eu tenho um amor e carinho muito profundos por ele, mas me pergunto como alguém tão ausente pôde me despertar esses sentimentos.Eu me lembro das apresentações escolares as quais ele faltou, cresci nos anos noventa numa cidade pequena e conservadora, na minha infância ainda era incomum ter apenas mãe. Eu me lembro de como me sentia quando meus amigos falavam sobre seus pais, sobre uma realidade que parecia tão agradável e que pra mim era tão distante. Me lembro de como desejei ter algo assim. A lembrança é tão vívida que escrever me fez experimentar essas emoções novamente.Já não me entristeço como antes felizmente, hoje eu olho pro abandono com mais praticidade, não posso dizer que seja justificável a forma que ele agiu, mas compreendo o que ele possa ter sentido, era muito jovem quando eu nasci. Nem de longe foi o melhor pai do mundo ou o pai que eu quis, mas ele foi o melhor que conseguiu ser (pena que isso em si tenha sido tão pouco).Hoje em dia nos vemos casualmente, conversamos trivialidades, sei que ele lamenta nossa história tanto quanto eu, e consegui perdoá-lo mesmo que ele nunca tenha pedido perdão. Enterramos meu avô (seu pai) no ano passado e isso foi sofrido pra nós dois, me fez refletir sobre nossa trajetória e nos aproximou (mesmo que pouco).Esses quase 30 anos de ausência não podem ser compensados, mas só Deus sabe quantos anos mais teremos, quero apenas não me lamentar por desperdiçar esses dias com algum tipo de rancor. A verdade é que passei esse último dia dos pais com meu pai, o primeiro que passamos juntos em anos, e me senti melhor resolvido. Não foi uma celebração cheia de significado ou comercial de margarina style, afinal foi uma vida de ausência que não se preenche em um domingo, mas éramos dois adultos, construindo algum laço, sem frustrações ou ressentimentos. Foi bom.Por muito tempo eu diria que a ausência deste pai vivo é mais dolorosa do que qualquer coisa, mas hoje penso que não. Meu melhor amigo perdeu o pai recentemente, e o dele era um paizão. Ele relembrou neste agosto os últimos dias dos pais e toda uma vida ao lado do homem que mais lhe amou no mundo, a ausência foi mais forte que nunca pra ele. Me pergunto como é ter do que sentir falta, não quero ser mal interpretado, me doeria na alma não ter meu pai, mas não haveriam fantasmas de bons momentos pra me assombrar como há para este meu amigo. Nenhuma lembrança feliz pra amargar os dias, haveria luto apenas. As vezes ter algo e perder é pior do que nunca ter tido."
"3","Como é crescer com pais muito rigorosos?","O adjetivo rigorosos adquire habitualmente uma conotação negativa e eu vou seguir essa mesma linha por agora.Pais rigorosos impedem o completo desenvolvimento do indivíduo, pois vão transferindo para os filhos as suas próprias limitações, medos e até sonhos frustrados. Tudo isso carrega os filhos de forma brutal … e injusta pois a cada indivíduo a sua carga, a sua própria carga.O rigor dos progenitores acresce ainda o sentimento de culpa constante de um filho/filha se expressar pois está sempre com receio de não corresponder às expectativas dos progenitores. Todos nós já fomos crianças e a nossa auto-estima é alicerçada na apreciação que nos é fornecida primeiro pelos nossos progenitores. A ausência ou insuficiência dessa apreciação deixa marcas que se traduzem pela diminuida auto-estima da criança e posteriormente a tornam num adulto inseguro. Dependerá da personalidade desse adulto e dos contactos que a vida lhe trouxer para ultrapassar essa carência. Mas a marca fica sempre na matriz emocional do indivíduo.Um indivíduo equilibrado é um que está bem com a vida e consigo próprio. Que errou e que continuou a ser amado; que venceu e que não foi apaparicado mas que foi reconhecido; que foi amado … pelo que É!Mas algum rigor é necessário pois para além da liberdade de sermos deixados ser quem somos também precisamos de balizas que nos confiram segurança e que nos ensinem de forma não invasiva que a liberdade tem bareiras e que a nossa liberdade termina onde começa a do outro.Bem Hajam todos os que de nós tivémos/temos progenitores QUE NOS AMARAM E NOS AMEM. Essa a maior bênção.Eles fizeram o melhor que conseguiam. São humanos.Quando li sua pergunta, automaticamente me veio a memória está resportagem: 'Como a educação severa de meus pais me tornou uma adulta solitária e tímida'Exageros à parte, é necessário ser rigoroso sim ao criar filhos, pois o mundo devora quem é fraco. Só é necessário que todas as atitudes sejam permeadad com amor e respeito de ambas as partes."
"4","Como agir quando percebemos que nossa filha e toda a sua turma fazem bullying psicológico com uma colega?","Eu sou um ponto fora da curva, porque criei meu filho na base do bullying, então quando tentavam fazer isso com ele na escola ele falava meu pai faz melhor, vc é fraco.Aqui em casa todos pregamos peças e brincamos uns com os outros e isso sempre foi bastante tranquilo entre nós, mas acabou por prepará-lo para esse tipo de gente e dar-lhe uma resiliência e uma segurança de si bastante grandes.Quanto ao bullying psicológico, ele geralmente preda num defeito que a pessoa veja em si, então o melhor tratamento, na minha opinião, é enaltecer qualidades da vítima e, como sou fora da curva, falar para essa vítima mandar esse povo à merda, mesmo.No seu caso, você está sofrendo com o mesmo problema, só que no passado e talvez se estendendo até o presente. Sua filha pode estar fazendo bullying para se encaixar no grupo, o que é normal da idade mas está ocorrendo de forma inadequada, ou estar expressando uma rejeção aos defeitos que veja em si e protejendo-se desse sentimento através da diminuição do outro.Ela precisa de terapia, e os pais também. O problema na maioria das vezes está nos pais. E veja que eu disse PROBLEMA, e não CULPA.Como eu sou fora da curva, eu diria algo como se você fizer isso de novo eu vou te ensinar o que é bullying, e eu REALMENTE ensino, então se fosse minha filha ela não faria de novo depois que eu falasse uma vez, mas isso varia do estilo de educação. No seu caso eu aconselharia uma conversa séria sobre o assunto, mas a maioria dos adolescentes não gosta de conversar com os pais sobre suas vidas.Esteja ciente, entretanto, dos dois motivos prováveis para ela estar fazendo isso: necessidade de pertencer ao grupo (e no caso o grupo é uma porcaria) e/ou projeção das próprias imperfeições, diminuindo o outro para sentir-se melhor consigo mesma. Com isso em mente, converse na escola da sua filha com o orientador e encontre um meio que seja ideal para você lidar com a situação.A criança que pratica assédio moral contra colegas, ainda mais escudada na turma que a torna forte, merece um tratamento exemplar por parte dos pais e professores.Ela demonstra falta de compaixão e carrega em si desvios que a tornarão, a futuro, dependente de relacionamentos que a façam sentir-se forte.Chama-se para uma conversa apenas para dizer o que acontecerá dali em diante:estará impedida de práticas de lazer;sairá para ir à escola;a presença da turma em casa estará proibida por tempo indeterminado;telefone zero.Haverá um atitude de tristeza a ser demonstrada a tal menina, mas a conversa com ela será a estritamente necessária, até que ela caia em si e procure os pais para falar a respeito, devendo partir dela (e não por sugestão) o comprometimento de que a atitude malsã não mais se repetirá.Não facilite!Bem, o meu filho é um menino forte, mas boa pessoa. Não o imagino a fazer bullying. Mas se isso eventualmente acontecer, tenho de o chamar à razão. É um tipo de coisa em que a minha tolerância é nula.Ao mesmo tempo, iria falar com a professora dele (uma excelente senhora, diga-se desde já) e com os pais dos colegas do meu filho (com os pais da vitima e dos agressores).Não deixaria a coisa correr por si só. Teríamos que encontrar forma de ensinar as crianças que não se deve ter esse tipo de comportamentos vilentos.Há alguns anos atrás fui chamada pelo conselho tutelar da minha cidade porque a minha filha caçula não somente fazia bullying como também discriminava uma colega de classe por esta precisar fazer uso me medicação controlada. A medicação servia para controle de estresse já que a menina tinha crises epiléticas e não deveria sofrer nervoso.As palavras usadas por minha filha (segundo a queixa da mãe) foram estas: Ninguém brinca com a fulana porque ela toma remédio para AIDS e quem brincar com ela vai pegar também.Para mim isso foi um choque. A menina se recusou a voltar a escola, teve uma crise nervosa e eu tive que comparecer no conselho tutelar junto da minha filha que negou tudo e ouvi coisas que eu não precisava ouvir já que tenho muita ciência da educação que dei a minha filha.Como eu agi?Após ouvir as advertências da conselheira tutelar, ali mesmo na sala do conselho eu fiz questão de lembrar a minha filha o porquê ela não poderia praticar bullying e menos ainda discriminar qualquer pessoa.Você é a última pessoa neste mundo que não deveria discriminar ninguém! Como vc se sentiria se alguém zoasse a sua mãe por ser surda? Como se sentiria se alguém te discrimina por você ser mulata? Como vc iria se sentir se um amigo seu te evitasse por você ser prima de um homossexual? E evitasse você por ter AIDS? Temos tudo isso e muito mais na família e somos os últimos a poder apontar os defeitos do outro. Educação eu te dei e nunca precisei te bater mas desta vez você merece umas palmadas já que conversando você não aprendeu o que é ter empatia.Falei essas palavras na frente da conselheira e em casa eu realmente dei lhe umas palmadas e foi a última vez que precisei bater para educar. Minha filha tendo consciência dos defeitos da nossa família nunca mais discriminou ninguém, nunca mais praticou bullying contra ninguém e se afastou de amigos deste tipo sem que que eu precisasse pedir.Mas cada caso é um caso né?Descukpa dizer mais quando uma pessoa faz bullyng com outra pessoa é porque essa pessoa é infeliz, ninguém feliz perde tempo machucando o outro e nem fica depositando suas frustrações nos outros. Não vai ser uma série que vai ajuda lá se possível converse mais com ela, apóie mais a sua filha caso não lhe dê resultados tente um psicológo vai ajudar . isso também é fase vai passar mais nunca dispense um bom dialago com ela .Exemplar a filha de que aquilo é errado, ter uma conversa franca com a turm da filha ou com os pais dos amigos dela, e por fim alertar a diretoria da escola sobre isso.Converse com ela. Faça ela se colocar no lugar do outro.Empatia se ensina, se a pessoa não puder aprender, é uma caso de psicopatia e requer intervenção médica.Chamamos todos envolvidos com os seus pais e acertamos uma forma de punição ou acompanhamento psicológico."
"5","Como você cuida de seus pais idosos quando você tem um bebê?","Na verdade vai como dá, você não vai dar conta de tudo, mas procure ter uma rede de apoio ( pessoas de confiança que te ajudam nem que seja só uma conversa ou fique com seu filho quando tiver que sair) . Dica é que a minha nao é minha familia biológica. O importante é vc vai ter que cuidar de cada dia o seu mal. Planejamento nesse periodo é mais curto prazo, pois acaba mais com imprevistos que rotina.Procure tentar organizar uma rotina, mas se nao conseguir, nao trave, aja conforme o que der.Ha horas que voce tem que dizer não e cuidar do que precisa e não de solicitações.Tenha um tempo pra você. É a parte mais dificil, mas sua saude no futuro e disposição dependem desse tempo pra respirar. Algumas pessoas conseguem isso em uma hora na semana, outras 12 horas, mas tenha . Parte do declínio metabólico está relacionado com a queda do neurotransmissor dopamina e o nivel de satisfação com a vida.Cuidar é importante, mas curtir estar com eles também. Você nao muda ninguem, mas curta a fase que esta e com quem está do jeito que der. Troque reclamar por piadas, carinho, vai ajudar a lidar com stress.A fase do seu bebê nao volta, ture parte do tempo pra curtir isso…amamente olhando no olho, 10 minutos / dia de qualidade ajudam muito a nao passar anos em terapias.Seus pais estao numa fase que muita coisa nao funciona mais (raciocinio, memoria, músculos, e outros) alem da turma da idade deles estar partindo. Voce pode não entender o que estao sentindo, mas tente ser gentil. Se conseguir entender melhor ainda.Da trabalho, muiiito mesmo, mas me ensinou muito pra me cuidar e cuidar do meu filho observar e cuidar da família.Detalhe, virão críticos falar que você deveria fazer isso ou aquilo , ou que você nao é boa o suficiente , ouça o que for melhor e der pra usar mas corte se estiver roubando sua Paz. Você precisa dela e quem esta fazendo é vocêNão tenho pais vivos mas tenho sogros idosos e um neto pequeno que tenho que diariamente dar banho, trocar, levar na creche e nas férias ficar com ele em periodo integral já que a mãe dele trabalha e sai de madrugada de casa.Meus sogros são idosos sem nenhuma instrução e dependem totalmente de mim para levá-los ao médico e orientá-los da maneira correta de como se medicar.As vezes meu neto está em casa e preciso levar meus sogros ao médico e eu faço isso tranquilamente quando não consigo que alguém fique com meu netinho.Infelizmente vi acontecer com colegas. Eles acabam transformando todos em.. Bebês. Horários para alimentação, para trocar fraldas, para banho. Imposição de ordem assumindo que os pais não possuíam mais condições de avaliar corretamente as coisas (o que era falso). Os país acabaram saindo de férias na casa de outro filho e decidindo não voltar mais para a casa das colegas (que moravam juntas)Procurar ter uma rotina e computar também quaisquer eventualidades que possam ocorrer.Aí você fala, poxa pode acontecer tudo então ?Exato, infelizmente sim"
"6","É possível pai, filha e filha se apaixonarem?","Na verdade, apaixonar-se por um filho ou filha é o normal. O incomum (e bastante incomum) é essa paixão e esse amor passarem de paternais para românticos.Como a parte do envolvimento romântico é algo difícil processar na minha mente, vou falar da paixão pelos filhos que é a comum de acontecer para que quem esteja acompanhando a questão possa ter algo mais leve para ler.Falarei do meu mais novo.Eu o vi nascer. E na hora que troquei o primeiro olhar com ele apaixonei completamente por aquela coisinha com cara de joelho e fofa. Foi o único filho que acompanhei o nascimento, infelizmente.Dizem que a paixão dura dois anos, dois anos e meio, mas enquanto o amor que é uma emoção sublime é tranquila mesmo com a distância, a paixão por um filho te deixa ser ar quando ele não está perto, e só quando ele começou a sair que pude compreender as noites de espera da minha mãe (desculpa, mãe) enquanto eu estava na farra.Hoje ele está na faculdade e é mega parceiro comigo, e nos vemos sempre que dá, mas a paixão paterna é algo muito interessante de experienciar, pois tem os efeitos da ausência de quem se ama, mas é acompanhada do amor tranquilo que pais e mães sentem, de que há uma parte deles caminhando por aí e pela qual eles dariam a vida.Talvez o que leve alguém a se apaixonar romanticamente por um filho seja a ausência dessa referência de amor paternal e maternal em sua infância. Sem essa referência deve ser algo complicado até de reconhecer, para quem passa por isso. É a única razão que me vem à mente para isso ocorrer.Possivel é pois já aconteceu.Mas não é algo de se orgulhar ou incentivar pois a tendência de evitar o incesto tem um fundo biológico de se evitar regressões endogaméticas o que seria algo muito ruim para a espécie humana."
"7","Por que um filme sobre o assassinato cometido por Suzane Von Richthofen é considerado 'pesado demais'?","Acho que porque a história em si já é pesada demais. Em filmes tratando de criminosos, a tendência é o diretor tentar humanizar a figura do autor do crime, o que, embora seja visto como muita gente como uma espécie de romantização do crime e até desrespeito ao sofrimento da vítima, é algo válido, pois é importante observar o outro lado da história sempre.Mas, como humanizar alguém que planejou o assassinato, de maneira brutal, dos próprios pais? As pessoas que criticam o filme o fazem com uma certa razão."
"8","O que devo oferecer à minha mãe?","Um elogio.Um obrigada.Um beijo e/ou um abraço.Uma flor colhida num jardim de berma de estrada.Precisas de ajuda para cozinhar? Não és minha criada.Vamos dar um passeio? Andas muito cansada.Se tiveres vergonha de verbalizar algo de pessoal escreve-o numa folha de papel e fala com o coração.Para isso recorta uma imagem bonita bonita de uma revista e cola-a num pedaço de papel. Não é preciso ter dinheiro para se ser criativo. E o que é feito por nós, com simplicidade e carinho, tem 1000 vezes mais valor do que a mais sofisticada das prendas comprada."
"9","Qual foi a explicação que seus pais te deram quando criança sobre a temível pergunta "de onde vêm os bebês"?","Não é uma temível pergunta, é até bem fácil de responder, desde que dentro do nível de vocabulário e entendimento da criança: amor-sementinha na barriga da mamãe-papai colocou, sem detalhes técnicos explícitos porque não são assimiláveis (sem viver o que é tesão, conjunção carnal descrita é um troço esquisito), mas se pressionada por detalhes dá pra falar no pênis e vagina ao modo que eles entendam, sem soar pornô.Mas eu não me lembro nem de ter perguntado, nem de alguma explicação. Lembro-me de um papo sério (pra mim) aos 4 anos, porque eu estava preocupada com casamento, um parceiro, não com bebês. Minha mãe aproveitou para dar a interdição (do incesto).O papo:Eu (ajudando a enxugar louça): procurar marido cansa? *rs*Mãe: a gente tem amigos, vai à escola, sai, passeia, um dia encontra alguém especial e os dois resolvem se casar…Eu: vou casar com papai.Mãe: com papai não pode, ele já é casado comigo e é seu pai.Eu: vou casar com Luizinho (meu irmão).Mãe: irmãos não se casam, com ele não pode.Eu: vou casar com Zezinho (meu primo).Mãe: com ele você pode casar.Eu: (após uma pausa) ele gosta de bife com batata frita, né?Era mais dona de casa aos 4 anos do que jamais fui.Sinceramente, não lembro… mas acho que minha mãe sempre explicou que vinham das barrigas das mulheres mas nunca tinha explicado como. Ela era enfermeira.Ganhei da minha mãe uma cartilha de onde vêm os bebês?Ou era De onde eu vim?Não lembro, faz muito tempo. Mas lembro que tinham desenhos de crianças peladinhas brincando na praia. Acho que eu já estava ficando adolescente…Lembro de minha mãe explicar que, os pais quando se gostam dão muitos beijos, mas as vezes beijam-se de uma forma muito especial na cama, quando estão sozinhos, porque ninguém deve ver e desse beijo especial nasce um bebéAinda hoje acho uma linda explicação que nem é propriamente mentira. Um bebé deve nascer do amor de um beijo especial.Claro que eu nunca pensava em incomodar meus pais na cama, mesmo que ouvisse algo. Podia ser que estivessem dando um beijo especial e finalmente eu teria um irmaozinho :DEles nunca me explicaram sobre a origem dos bebês, mas também eu não demonstrei muito interesse no assunto durante a minha infância."
"10","Em quais situações o pai fica com a guarda do filho?","Quando ele tiver, comprovadamente melhores condições de criá-lo, caso acusações de abusos contra a criança não tiver o pai como autor. Essa história de que a mãe tem que ter a guarda na maioria dos casos é no mínimo absurda. Porque de um lado pai também quer o bem e também ama o filho e de outro lado, nem toda a mãe pode ser considerada apta a ser mãe de fato.Acho que agora, a lei é igual, não há mais esse tipo de impedimento.Na prática só se a mãe quiser ou se for realmente dada como incapaz, normalmente em virtude de doença mental, dependência química ou se estiver cumprindo pena em regime fechado."
