"id","question","answers"
"1","Porque é que os telemóveis/celulares viciam tanto as pessoas?","Nada é mais sedutor que o poder. Poder saber que ônibus pegar, poder saber que roupa vai usar no clima do dia, poder informar os outros que está informado, poder escolher o que vai assistir, poder agendar compromissos, poder ter poder…Por que é um meio de comunicação versátil.Porque nos permitem sair da realidade e ter vidas de mentirinha e ver as vidas de mentirinha dos outros. Mundos perfeitos onde só existe entretenimento e tudo o que há de ruim pode ser curado compartilhando posts e curtindo.Os smartphones são óptimas ferramentas de trabalho e de entretenimento, são o canivete suiço dos tempos modernos: GPS, camera fotográfica, email, chamadas, mensagens instantâneas, redes sociais, jogos, browser,… a lista não tem fim, e tudo na palma da mão, é fácil, fácil demais.Apesar do smartphone ser potencialmente uma excelente ferramenta, tudo depende do utilizador. O que constato é que uma grande parte dos utilizadores usa o aparelho demasiado tempo para as redes sociais, que no fundo não trazem grande valor acrescentado mas que despoletam mecanismos de gratificação imediata: a curiosidade, os likes, comentários e swipes geram gratificação. A nível cerebral essa gratificação faz libertar substancias que fornecem sensações prazerosas e que ao mesmo tempo nos fazem viciar nessas actividades, o misto de sensações agradáveis e extrema facilidade de acesso fazem com que os smartphones sejam altamente viciantes.Porque as pessoas estão falando com você."
"2","Qual é o aplicativo pouco conhecido mas que você considera que todas as pessoas deveriam usar?","Então, eu não sei exatamente quais aplicativos são desconhecidos para a maioria das pessoas, mas vou citar alguns aplicativos que uso bastante e não vejo muitas pessoas comentarem sobre eles. Vou separar 3 por cada utilidade.Para trabalho com Clientes em geralHubspot: Um programa cuja utilidade é imensa, ele é bem abrangente em relação a leads e marketing em geral, pode servir até como uma agenda para seus clientes. Ele tem um monte de funções que acabo não utilizando, mas sabe quais que eu mais utilizo?Integração com o Google Agenda.Assim que acaba suas ligações, ele aparece como um pop up para perguntar a você o que aconteceu na ligação, para colocar se foi atendido, etc.Você pode anotar inúmeros detalhes do cliente, como site, página do Facebook, Instagram, endereço físico, número de telefone e celular, qual é o nome dos funcionários das lojas, enfim… Me ajuda muito.Pagseguro Vendas: Eu sei, o Pagseguro é bem conhecido, mas nas cidades aonde trabalho, o aplicativo não é. Receber diretamente pelo celular sem o uso de maquininhas é extremamente vantajoso. Claro, é melhor você ter uma dessas, mas isso serve muito para quebrar o galho enquanto não tem uma. Já vendi muito por ela, e meus clientes até ficam impressionados para ser sincero, haha.Call Recorder: Como foi aquela conversa com aquele cliente mesmo? E aquela ligação que foi super engraçada e que você quer ouvir ela de novo - Como foi o caso que uma vez eu encontrei outro Joseph, e na hora que a atendente falou comigo, eu simples disse: Olá, eu sou o Joseph, poderia chamar o Joseph para mim? É que eu sou Joseph também - enfim… Lembrando que não é crime você gravar suas próprias conversas, somente a de terceiros.Úteis diariamenteBlock This!: Infelizmente esse aplicativo não se encontra mais na PlayStore pelo o que me lembro, o motivo eu não sei, porém ainda tenho ele no meu celular. Chega daquelas propagandas que acabam com seus dados móveis ou fazem aquele site carregar super lento, ele é como se fosse o uBlock Origin, só que para seu celular. Liga ele uma vez, ele ativa um VPN Local - Não se preocupe, um VPN local é somente acessado do seu celular, diferente de um VPN comum - e pronto, navegue o quanto quiser sem propagandas.O.B.S: Lembre-se que alguns sites se mantém graças a elas, sugiro usar ele somente ao navegar com dados móveis ou com internet limitada. Vamos ajudar, certo?Ampere: MEU DEUS, QUE APLICATIVO ÚTIL! Agora, por que ele é tão útil? Porque ele mostra exatamente tudo relacionado a bateria do seu celular. A temperatura, a voltagem, tudo qualquer dado útil! Quando meu celular não estava carregando uma vez, usei a função dele que permite ver quantos mA (miliampere) seu celular está carregando. Explicando de um modo mais para todos entenderem, quanto maior o mA que estiver carregando, teoricamente melhor. Meu carregador estava carregando de 10 a 40 mA, o que significava que o defeito era ele. Na loja, na hora de comprar outro, testei ele junto com o APP e vi que ele estava carregando de 300 a 500 mA, mostrando que o problema realmente era o meu carregador, e não o aparelho. Extremamente útil.Aplicativos Lite em geral: Geralmente a versão Lite é tão útil quanto o original, alguns exemplos são PDF Reader (Que é só 1 MB), Uber Lite, Aplicativos de banco Lite, Facebook Lite, etc. Afinal, espaço no celular sempre fica no vermelho, não é mesmo? As vezes vale a pena sacrificar Design por eficiência.EntretenimentoEntão, alguns aplicativos de entretenimento que não são tão famosos e que eu recomendo. Claro que eles são mais pessoais, você não é obrigado a gostar deles.Bitlife: Um dos únicos motivos de ter tirado ele do meu celular, é porque ele é meio pesado. Mas foi super divertido. Nele você pode criar ou escolher uma pessoa aleatória, em um país aleatório, e acompanhar a pessoa desde o nascimento a até a morte. Como você vai morrer? Bom, pode ser de idade, pode ser porque você foi assaltado, pode ser que você fez algo errado e foi para a cadeia… Como você vai viver? Irá ir para uma faculdade criando uma dívida imensa ou irá tentar a vida no crime? Ou talvez trabalhando em locais menos exigentes, que não irá te dar uma remuneração muito boa. O aplicativo para iOS é mais completo.Livros Gratuitos - Spirit Fanfics e Histórias: Para quem gosta de Fanfics e histórias, é uma boa. Eu até tinha feito algumas lá. Claro que você vai encontrar fanfic para todos os tipos de público, então vai de gosto. É bom para passar o tempo as vezes.Hahaha, esse eu vou ficar devendo. Não me lembro de mais algum que seria desconhecido. Tem alguns jogos que jogo, como Fate GO, mas ele é bem conhecido até."
"3","Qual é o celular mais potênte da atualidade?","Não direi somente um, mas os dez mais potentes do mundo. Confira.A empresa por trás do AnTuTu, app mais usado do mundo para testes de benchmark em dispositivos móveis, anunciou a lista dos 10 smartphones mais potentes do mundo em agosto de 2019. Como era de se esperar, os aparelhos recém-lançados que usam o novo chip Snapdragon 855+, da Qualcomm, estão no topo da lista.No entanto, ao contrário das versões anteriores do AnTuTu, a versão 8, usada para o teste mais recente, passou a considerar o tamanho do armazenamento e a atualização de tela como parte das categorias que influenciam na pontuação. Por isso, o OnePlus 7 Pro, com sua tela de 90 Hz, foi beneficiado em relação à lista anterior. A mudança é bem-vinda, uma vez que pode incentivar as fabricantes a inovar em outras características, já que os principais responsáveis pelo ranking acabam sendo o processador e a quantidade de RAM.No topo do ranking está o Black Shark 2 Pro. Logo atrás, e por uma diferença quase imperceptível, vem o ROG Phone 2. A razão para isso é que eles usam a mesma CPU (Snapdragon 855+). Em terceiro lugar, vem o OnePlus 7 Pro, que ganhou posições devido à sua incrível tela.Veja como ficou a lista dos 10 celulares mais potentes de agosto de 2019, de acordo com a classificação do AnTuTu:Black Shark 2 Pro 12 GB + 256 GBAsus ROG Phone 2 8 Gb + 128 GBOnePlus 7 Pro com 12 GB + 256 GBNubia Red Magic 3 com 8 GB + 128 GBOnePlus 7 com 12 GB + 256 GBBlack Shark 2 com 8 GB + 256 GBXiaomi Mi 9 com 8 GB + 256 GBZTE Axon 10 Pro 5G com 6 GB + 128 GBMeizu 16S com 8 GB + 128 GBRedmi K20 Pro com 8 GB + 256 GBTalvez, a maior surpresa da lista seja o ZTE Axon 10 Pro, pois é o único com “apenas” 6 GB de RAM entre as “supermáquinas”.Fonte Top 10 celulares mais potentes do mundo em agosto de 2019; Xiaomi no topo"
"4","Em 2019 faz sentido dizer que um iPhone oferece uma experiência tão superior a de um Android de faixa de preços similar?","Os dois sistemas são muito bons, mas o Android, que é utilizado pela maioria dos fabricantes de celulares, vive a realidade da concorrência. Como há muitos fabricantes do hardware, é difícil para eles distinguir o seu produto dos demais. Vira quase uma commodity. E por isso o preço, em geral, é mais baixo.O IPhone não tem concorrentes usando seu sistema operacional e aqueles que optam por ele em geral pagam bem mais caro pelo aparelho.Quando uma pessoa se habitua a um sistema operacional, tem dificuldade de se acostumar com o outro. Estou há tanto tempo com IOS que já esqueci boa parte do que sabia com o Android. Quando tenho que dar uma assistência à minha mulher com algum detalhe do seu aparelho Android, isso me é um sacrifício e tanto.A escolha, além do preço, é uma questão de gosto e hábito. Quem está habituado com o IOS do iPhone adquire conhecimento e prática desse sistema e tem dificuldade de usar o Android. O mesmo ocorre com os usuários de Android, que têm dificuldade de usar o IOS.Não vejo que o iPhone seja superior aos aparelhos que rodam Android em desempenho, mas parece que a durabilidade dele é maior.Apesar disso, o culto ao iPhone e à Apple permite um celular caro como o iPhone ter vendas tão expressivas.Veja reportagem sobre as vendas de cada sistema operacional: iOS vs Android: quem domina o mercado de smartphones?iOS vs Android: quem domina o mercado de smartphones?Analisamos os números mais recentes de vendas na Europa, China e América do Norte para saber qual plataforma móvel o mundo prefere usarMartyn Casserly, Macworld (USA)16/02/2019 às 15h35Foto: ShutterstockiOS vs Android: quem domina o mercado de smartphones?Andar por qualquer cidade um pouco mais desenvolvida pode dar a impressão de que os iPhones são os preferidos dos usuários, uma vez que a maioria das pessoas normalmente pode ser vista usando um. Para ser justo, com designs que não mudam com tanta frequência quanto no mundo Android, essa pode ser uma representação levemente distorcida, já que alguém segurando um iPhone 6 seria quase idêntico a um iPhone 8, especialmente se o dispositivo estiver em uma case.Mas quão precisa é essa evidência quando comparada à grande quantidade de smartphones Android vendidos todos os anos? Analisamos os fatos e números que mostram como o iPhone e o Android se comparam quando se trata de vendas e uso.O retrato globalAo olhar para as estatísticas mundiais de vendas, o Android tem uma clara vantagem sobre o iOS em termos de participação de mercado. A Statcounter relata que, durante o período de janeiro de 2018 a janeiro de 2019, o Android representou 74,45% do setor, com o iOS voltando a 22,85%. Os 2% restantes eram compostos por 1,1% do KaiOS (um sistema operacional baseado na web para melhorar os atributos de celulares), 0,3% do Windows, 0,28% da Samsung e 0,41% de plataformas desconhecidas.As vendas foram consistentes durante todo o ano, exceto por um ligeiro fechamento de intervalo em novembro, quando as vendas do iPhone subiram para 24,44% e as do Android caíram para 72,35%. Possivelmente, os números se deram devido ao lançamento dos iPhones XS, XS Max e XR, que chegaram às lojas nessa época.Este ano também marcou uma mudança interessante em termos dos grandes players no espaço móvel. Nos últimos sete anos, Apple e Samsung foram os dois principais vendedores de aparelhos, com a sul-coreana em primeiro lugar e a Maçã em segundo. No entanto, no segundo trimestre de 2018, a Huawei conseguiu ficar entre as duas companhias, reivindicando o segundo lugar. Isso é ainda mais impressionante quando se leva em consideração que a empresa está atualmente proibida de vender produtos nos Estados Unidos, devido a preocupações com possíveis problemas de segurança envolvendo o governo chinês.O IDC tem números diferentes, publicados em agosto de 2018, mas que também incluíram projeções para o final do ano. Eles colocaram a participação de mercado do Android em um nível ainda mais alto, com 86,3% quando comparados à média dos três primeiros trimestres de 2018, com o iOS reduzido a uma média de 13,6% no mesmo período.EuropaÉ uma imagem similar na Europa, onde o Statcounter relata o Android com 70,91% e o iOS diminuindo a diferença com vendas em 27,95%. O mesmo aumento aparece para a Apple em novembro de 2018, como vimos nos números globais, mas desta vez de uma forma mais significativa, uma vez que elevou as vendas do iPhone para 33,84% no mercado, enquanto reduziu o Android para 64,57%.A imagem muda um pouco quando se examina a fundo em países e marcas individuais. No Reino Unido, por exemplo, a Apple tem a maior participação de mercado, com 51,4%, e a Samsung com 29,66%, seguida pela Huawei (6,23%), Motorola (1,87%) e, em então, o restante das marcas. Em contrapartida, na Alemanha é a Samsung quem aparece no topo, com 43,12%, enquanto que a Apple figura com 30,43%, e a Huawei com 13,1%. Já na França a lacuna é menor, com a Samsung ainda sendo a atual líder em 37,86%, e a Apple logo atrás com 33,06%. Em terceiro lugar aparece a Huawei, com 11,97%, e em quarto a Xiaomi, com 3%.Conheça a Plataforma de Experiência Digital sob medida para seu negócioE-book por:América do NorteA América do Norte é tradicionalmente o segundo maior mercado para smartphones, atrás apenas da China. Isso foi brevemente interrompido no terceiro trimestre de 2018, quando a Índia a superou, com vendas de 40,4 milhões de unidades, que ultrapassaram os 40 milhões vendidos nos EUA e no Canadá.Os tipos de telefones comprados nesse período eram muito diferentes de acordo com a Statcounter, já que o mercado indiano tem a Apple em torno de 3%, sendo a maioria ocupada pela Samsung (24,38%), Xiaomi (21,43%), Oppo (9,07%) e outras fabricantes Android.Na América do Norte, isso é completamente diferente, já que a Apple domina o mercado com 52,28%, e a Samsung, com 25,54%. Os Estados Unidos ainda estão mais inclinados para a Maçã, com a empresa de Cupertino reivindicando 57,22%, e a Samsung mantendo-se estável em 24,27%, seguida pela LG (5,49%), Motorola (3,66%) e Google (2,27%). O Canadá é basicamente o mesmo, com a Apple em 57,56%, e a Samsung em 25,77%.ChinaComo o maior mercado de smartphones do mundo, a China é extremamente importante para as grandes empresas, então talvez seja surpreendente notar que aqui a Samsung não teve muita sorte nos últimos anos.A ascensão de companhias chinesas, como Huawei, Xiaomi e Oppo, praticamente dizimou as vendas de aparelhos da Samsung, que também foram afetados pela tensão entre a China e a Coréia do Sul (o lar da Samsung), em especial, segundo o jornal The Korean Times, sobre a “implantação de um sistema de mísseis THAAD dos EUA em Seul em 2017 . Isso abriu as portas para a Apple, que viu o iPhone se tornar o líder do mercado, com 24,79% das vendas, seguido de perto pela Huawei (23,02%), Xiaomi (11,09%) e Oppo (11,04%).Ainda não se sabe como esses números são afetados pela recente guerra de tarifas entre a China e os EUA, sem mencionar a prisão do executivo sênior da Huawei no Canadá e a filha do fundador da empresa, Meng Wanzhou. Mas não estaria fora de questão ver o aumento do sentimento antiamericano entre a população chinesa diminuindo as vendas de produtos da Apple.E com isso concluímos os números de vendas globais para as duas plataformas móveis que o mundo usa todos os dias. Qual é melhor? Bem, isso depende inteiramente onde você mora. Os norte-americanos e britânicos claramente preferem o iPhone, a Europa continental está indecisa, os clientes chineses também usam aparelhos Apple, mas compram muito mais produtos Android, enquanto o crescimento do mercado indiano é uma ótima notícia para os gostos da Samsung e da Xiaomi.Zero. Não conheço um único ex-usuário de apple que sinta saudade.Esse gap havia no passado sim, tive iPhone 3, 4 e 5 como celulares pessoais, e, trabalhando com android profissionalmente como desenvolvedor. No Android 4.0 a coisa empatou entre eles, daí em diante, rapaz… iOS está anos atrás hoje.Iphone tem um valor de status agregado maior que qualquer android. É a mesma coisa que o Dodge Journey e o Fiat Freemont, no chassi são exatamente iguais, mad a marca faz com que paguem mais no dodge. Não há nada que você faça em um iphone que não faça em um top da Samsung por exemplo, mas ninguém chama o Samsung de Samsung , preferem citar o modelo, iphone representa statuss em 97% dos casos. Existem muitas pessoas que preferem o iPhone pela facilidade de uso, pois por não ser tantos botões quanto a maioria dos androids são mais simples e condicionam o uso. Existe o mito da câmera, mad em qualquer teste o iphone top de linha e o android top de linha vão ter prós e contras incompatíveis com a diferença de preço !Não mesmo, ja teve isso anos atrasNão."
"5","Como formatar Oneplus 7?","O Bruno te respondeu acima, pois eu também não sabia como fazê-lo."
"6","Como o 5G funciona?","O 5G é a tecnologia de comunicação móvel sem fio de quinta geração, que oferece velocidades 10 vezes mais rápidas do que as tecnologias 4G atuais (1 a 5 Gbps). No entanto, não existe uma forma padronizada da tecnologia 5G, assim como a LTE para o 4G. O desenvolvimento do 5G ainda está em andamento e deve atingir os mercados até 2020. Recentemente, durante o MWC em Barcelona, na Espanha. A ZTE, uma empresa chinesa de telefonia móvel, apresentou o primeiro smartphone 5G inteligente, capaz de oferecer velocidades de 1Gbps.Funcionamento:A tecnologia 5G depende de 4 fatores principais1. Ondas milimétricas:Basicamente, para a rede 4G, usamos o espectro de freqüência que varia de 2 a 6 Ghz, agora, à medida que mais e mais dispositivos são adicionados à esse espectro, o congestionamento aumenta, reduzindo as velocidades transmissionais. Para superá-lo e alcançar velocidades mais altas, precisamos expandir nosso espectro.Ondas milimétricas que estão no espectro de freqüência de 30 a 300 Ghz, nos fornecem espaço necessário para expandir o espectro, até mesmo as velocidades alcançadas por essas ondas milimétricas são altas. Por outro lado, embora a transmissão seja muito rápida, a atenuação é maior quando transmitida para distâncias maiores e essas ondas não penetram através de árvores, prédios ou montanhas. Então, para alcançar a linha de propagação direta, usamos células menores2. Células Pequenas:A altura da antena depende do comprimento de onda.Altura da antena = (1/4) * comprimento de onda.Já que estamos usando ondas milimétricas que tem muito menos comprimento de onda. A altura da antena reduz muito mais. Em vez de usar uma única antena de alta potência, usamos várias estações menores. Este método reduz a probabilidade de atenuação através de alguns elementos físicos e até elimina a desvantagem das ondas milimétricas de não conseguir transmitir os sinais para maiores distâncias. A reutilização da frequência pode ser alcançada com muita facilidade quando usamos células menores.3. MIMO MASSIVO:MIMO significa MULTIPLE INPUT MULTIPLE OUTPUT. Na tecnologia 4G nós tínhamos uma dúzia dessas portas MIMO para transmitir os sinais, agora em nossa tecnologia 5G aumentamos esses números em quase 4 vezes para facilitar a viajem dos sinais, mais rápido em todas as direções. Mas a complexidade da rede cresce para níveis mais altos e enfrentaremos maiores interferências, já que muitos sinais são transmitidos uma vez através das mesmas estações. Para superá-lo, vamos usar um método chamado beamforming4. BEAMFORMING:Beamforming é um método destinado a eliminar as interferências dos sinais, em vez de permitir que todas as portas transmitam os sinais em todas as direções, primeiro fazemos uma única porta para enviar sinais de feixe mais alto em uma direção específica, isso reduz a interferência e as atenuações desse feixe de alta potência são focadas e enviadas em uma direção paticular.“DADOS SÃO O NOVO PETRÓLEO”. Essa tecnologia 5G certamente criará um mercado grande e massivo, contribuindo com um papel muito importante na internet das coisas, realidade virtual, realidade aumentada, segurança, etc.JAI HINDH."
"7","Qual seria o principal motivo para a Samsung afirmar que em cinco anos ninguém mais usará smartphones?",""
"8","Você já sofreu ou conhece alguém que sofreu golpe por telefone?","Vou apresentar dois de altíssimo poder. Um tem sido aplicado aqui. Conheci duas pessoas que caíram – explicado como está abaixo, você já sabendo por antecipação que é golpe, pode até parecer que é coisa para gente muito otária. Mas o envolvimento é perfeito.Do outro golpe só sei ter sido aplicado na Europa, e é mais complexo. Mas conto, porque pode chegar aqui.Vamos ao brasileiro:Alguém ligou apresentando-se como funcionário da Visa: sabia o nome da vítima e indicou os quatro últimos algarismos do cartão para confirmação, o que foi feito.Em seguida o golpista perguntou se a vítima reconhecia uma compra feita nas Lojas Americanas de Campinas, no valor X.A vítima disse que não, e estranhou não ter recebido o SMS com o aviso da despesa. O golpista explicou que o aviso é emitido automaticamente pelo departamento dele, a não ser quando o sistema indica alguma inconformidade com o padrão histórico de compras do cliente, levando à desconfiança de algo errado. Nesse caso, o protocolo de segurança da empresa pede para confirmar a compra diretamente com o cliente. Daí o motivo da ligação.A vítima, menos desconfiada e mais atenciosa, garantiu uma vez mais que a compra não era dela. Então o “atendente”, muito solícito, recomendou o cancelamento e substituição daquele cartão, para evitar novas ocorrências, algumas das quais poderiam passar batidas tanto pelo sistema quanto pelo usuário.De pleno acordo com a substituição, a vítima foi instruída a ligar imediatamente para o número que está atrás do cartão. O atendente deu um número de protocolo, dizendo que isso facilitaria muito o processo, mas reforçou o conselho para fazer isso em seguida, porque ele não tinha o poder de cancelar o cartão.Foi o que fez a vítima: ligou para O NÚMERO DO CARTÃO. Antes disso, anotou o número em um papel, porque os números do cartão eram muito pequenos. Aí, tudo normal. Entrou o sistema automatizado de call center, com alguma rotina, antecedendo uma voz feminina, em contraste com a do atendimento anterior.A atendente, muito gentil e profissional, depois de “acessar a conta” da vítima, começou a ler várias outras compras para que elas fossem confirmadas. Eram compras reais e foram, uma a uma sendo confirmadas. Com a vítima cada vez mais confiante, ela não viu problemas em passar o número inteiro do cartão e... a senha.A atendente disse que o cartão deveria ser entregue em determinado endereço com uma carta escrita de próprio punho. A vítima disse que era muito longe e a atendente, solícita, disse que poderia mandar um motoboy retirar. Era só passar o endereço, o que foi feito. Perguntou se gostaria de um modelo para a carta e a vítima aceitou. Esse modelo foi ditado pelo telefone. Basicamente solicitava à Visa o cancelamento do cartão que seguia anexo, devido à possibilidade de fraude, com a sua reposição por outro com número diferente. A atendente pediu que cortasse o cartão antes de colocá-lo no envelope.Em seguida pediu que a vítima colocasse o celular em modo avião para evitar o seu acesso e a manteve ao telefone até a chegada do motoboy. Durante esse tempo, deu várias instruções de segurança, como a de evitar o uso em postos de gasolina, etc. Até o motoboy chegar e levar o envelope. Não demorou muito. Foi usado um motoboy de aplicativo.Já no elevador de volta ao apartamento, a ficha da vítima começou a cair. “Modo Avião”? Que tem a ver? Assim que tirou essa configuração, compras não feitas por ela começaram a chegar por SMS. Então ela quis ligar ao atendimento Visa para fazer a queixa. Mas, cadê o número de telefone, que foi picotado no cartão e levado pelo motoboy? Ah, sim, por sorte ela havia copiado o número – lembra?O atendimento, ela logo de cara percebeu, era muito diferente do anterior. Agora era a Central de Atendimento Visa correta. A Atendente logo explicou que era golpe. Bloqueou imediatamente o cartão e cancelou as compras feitas nos últimos minutos – aquela primeira, das Lojas Americanas, não existia.Dias depois o novo cartão chegou pelo correio. O número aleatório que veio para ser substituído era exatamente a senha anterior dela!!! Mais um mistério.Anatomia do golpe:Os 4 últimos números do cartão podem ser obtidos em qualquer via de compra de maquininha por onde o cartão tenha passado, ou mesmo em uma conta de cartão jogada no lixo.Dúvida: o telefone do cliente pode ser copiado da maquininha pelo comerciante?A interceptação da ligação para a Visa é o ponto central do golpe.Cortar o cartão impede que ele seja usado, mas ele pode ser unido para copiar validade e código de segurança, entre outros dados.A entrega do cartão ao motoboy também atrasa o usuário a ligar para o serviço de atendimento da administradora, uma vez que o número do telefone foi com ele. A menos que a vítima se lembre de usar a opção de redial do telefone, para a qual, no IPhone, não existe botão.O tempo de conversa da atendente, até o motoboy chegar, é fundamental para que a vítima não raciocine sobre fatos como o de ter passado a senha e de ter colocado o celular em modo avião.NA EUROPAEste é bem mais complexo, porque precisa de alguém capaz de sintetizar a voz da vítima. Basicamente alguém conseguiu fazer o computador “falar” igual ao diretor de uma empresa, com a mesma entonação e sotaque. Dessa forma o golpista conseguiu com que outro diretor transferisse a ele quantia equivalente a 1,1 milhão de reais.Notícia da CBN, sem mais detalhes.Sim, uma senhora que morava aqui perto, ela acreditou que fosse um sobrinho, fez depósito.O sogro de meu irmão foi mais esperto, enrolou o filho no telefone enquanto procurou o verdadeiro pelo celular. Confirmado que estava bem, passou a brincar com o bandido do telefone. Era um gozador.Mamãe há algum tempo atendeu o telefone e já estava falando por alguns minutos quando cheguei para verificar quem era. A menos que percebamos que é alguma amiga dela, ou família, pedimos a ela que entregue o fone, porque ela às vezes não tem noção mais de com quem está falando, ouve mal, não entende bem o que se diz. Ela mesma costumava passar o telefone e dizer, um momentinho que você vai falar com minha filha (hoje já não atende quando o telefone chama), mas nesse dia ficou entretida com o papo.Assim que peguei o telefone, quase tive um acesso de riso, porque era o golpe da filha chorando, mas o sequestrador estava enfurecido com a condução que mamãe deu à chamada. Quando pus o fone no ouvido ele gritava, tá curtindo com a minha cara sua FDP, eu vou fazer isso, aquilo (ameaças). Respondi, é você que tá curtindo com a cara dela seu imbecil, ela tem Alzheimer e 94 anos, e desliguei.Conheço algumas pessoas que caíram no golpe do sequestro de parentes. Em sua maioria são pessoas idosas que sem querer dizem o nome de algum filho ou parente e dessa forma dão a oportunidade para os golpistas de personalizarem ainda mais a ligação. A última vez que soube de algo assim, uma senhora foi enganada porque disseram que o carro do filho havia quebrado na estrada. Ela toda inocente falou o nome do filho e o local para onde ele costumava ir. Ela depositou 300 reais, infelizmente.Eu não, minha mãe.Sim, eu próprio, infelizmente."
"9","Como os números de celular de autoridades foram descobertos de forma que fossem invadidos?","Hoje em dia, escritórios, gabinetes e organizações em geral (incluindo empresas) mantém muita informação das pessoas com quem interagem. A empresa em que trabalho, por exemplo, tem acesso a meu endereço, telefone, números de meus documentos, salário, plano de saúde e uma infinidade de outros dados dos quais não consigo me lembrar no momento. Certamente deve ter dados de outras empresas com quem faz transações comerciais, bem como de pessoas chave, de confiança dos gerentes, com os quais eles mantêm contato. Como temos um servidor de emails, mantém cópia de toda a comunicação eletrônica dentro da empresa, incluindo nomes de usuário e senha dos funcionários (senhas essas que geralmente os usuários reutilizam em duas redes sociais, contas de banco, autenticação em duas etapas etc…). Enfim, boa parte da vida dos funcionários está guardada nos servidores da empresa em que trabalho.Imagino que com o congresso, Câmara de deputados e demais unidades que compõem a estrutura do governo e suas subdivisões seja do mesmo jeito. Assim, para alguém interessado nesses dados, basta ter acesso aos computadores de lá e BINGO! Tem tudo na mão.Pode parecer algo difícil de acontecer, mas, acredite, já tivemos um monte de invasões ou exfiltração de informações de nossos agentes públicos. Muitas invasões de sistemas de armazenamento de dados de pessoas ligadas ao governo que nem mesmo vieram a público. Os dados pessoais deles, se for da maneira que acredito, estão guardados pelos atacantes, que esperam ter algum motivo para usá-los.Por exemplo, o grupo Anonymous tem diversas células pelo globo. Vez ou outra, especialmente quando há alguma atitude duvidosa por parte dos alvos dessas invasores, eles fazem um exposed das informações. Como exemplo, tem esses links abaixo.Esse tem informações só quem votou a favor da PEC 37.#Anonymous vazou dados dos Deputados Federais que votaram em favor a PEC 37Esse outro é mais amplo.DADOSSe você clicar nos links, verá que tem MUITA coisa, dentre as quais os números de telefone são as coisas menos invasivas. Quem fez a invasão dos celulares nem mesmo precisa ser necessariamente um hacker. Qualquer um que tenha os números de telefone (que estão disponíveis na web) e com algumas horas de pesquisa no YouTube consegue sequestrar a linha de alguém. Basta “pegar as manhas”.Um serviço desse tipo que fizeram e foi divulgado pelo the Intercept é fácil de ser feito. Complicado, talvez, mas, com toda certeza, fácil para quem sabe buscar os meios mais eficientes."
"10","Por que alguns idosos considerados extremamente inteligentes sentem dificuldade para aprender a operar um telefone celular, (mesmo os modelos mais simples com botões)?","Se houver este grau de dificuldade eu diria que já há possível comprometimento cognitivo, em algum grau. Mostrar-se computer savvy pode ser exigir demais de um idoso porque é tecnologia que não era comum na maior parte de sua vida, mas operar celulares não é tão difícil, principalmente se você se refere ao nível mais básico de utilização.Tudo está no cérebro!A inteligência na velhice não é decorar procedimentos energéticos de movimentos, comportamentos e atitudes, desenvolvidos através dos hábitos. Isso é exercício. Exercitar requer motivação. Dê motivação com alegria que abrirás interesse. Não qualquer coisa que se decora como um autômato.A inteligência na velhice é ter ligações de conteúdo de vivência com resultados concretos. Uma síntese do que realmente interessa, com economia e minimalismo.Falta de vontade de se adaptarem. Se nunca precisaram saber, por que haveriam de aprender?Resistência."
