"id","question","answers"
"1","Se dizem que o método Paulo Freire é tão bom, por que ele só é aplicado no Brasil?","Sorry! O Brasil[1] é um dos países que menos aplicam os conceitos do Paulo Freire.Eles são amplamente utilizados na França, Chile, Dinamarca, Alemanha[2] , Portugal e nos Estados Unidos.É o terceiro teórico mais citado no mundo em trabalhos acadêmicos[3] .Vale a pena procurar se informar.Notas de rodapé[1] 'Brasil nunca aplicou Paulo Freire', diz pesquisador[2] Método Paulo Freire é utilizado para integração de refugiados na Alemanha | DW | 26.04.2019[3] Paulo Freire é terceiro  teórico mais citado em trabalhos  acadêmicos no mundo  "
"2","Qual foi a situação mais difícil que já te colocaram?","Crise econômica de 2008/2009.Eu era supervisor de Manutencao em uma grande siderúrgica aqui na cidade.Com a chegada da crise vieram as demissões. Toda semana o gerente chamava os supervisores e mandava demitir pessoas.No início foi muito ruim mas as equipes tinham os nós cegos, os ruins de serviço, etc. E a orientação que passavam para nós era: livrem se dos problemas.Para todos os demitidos eu explicava o porquê dele ter sido escolhido e estar saindo. Achava importante este feedback.Só que com o passar das semanas e a saída dos Nós cegos só ficava trabalhador bom de ficha irretocável.Uma segunda feira o gerente chamou e mandou tirar mais gente até na sexta feira.Fui para casa não comia nada, não dormia direito preocupado tirar quem? Agora só tem colaborador ótimo na equipe!Enrolei o gerente a semana toda. Na sexta feira ele me chamou cedo e me deu um ultimato: Estou precisando do nome!Pensei, pensei….e dei um nome de um colaborador.O RH fez a papelada e me entregou para chamar a pessoa e demiti la.Eu chamei a pessoa na minha sala (era chamar e eles já vinham tremendo, a equipe ficava aterrorizada).Ele entrou, sentou. Eu falei o motivo de te lo chamado.Ele começou a chorar copiosamente e me perguntou: Wellington, porque eu? Porque você está fazendo isso comigo?As palavras me travaram na garganta! Eu não sabia o que falar! Abracei ele é comecei a chorar muito, muito, muito também!Respondi várias vezes: não sei, não sei, não sei!Naquele momento ali eu tomei uma decisao:Amanhã quem vai sair sou eu!No dia seguinte chamei o meu gerente e conversei com ele: se a empresa quer reduzir custos, manda eu embora. O meu salário dá pra pagar uns 6 mecânicos. Manda eu e segura seis deles!O gerente relutou! Mandou eu ir para casa pensar por uma semana. Esfriar a cabeça!Mas quando voltei eu saí.Me aposentei!Isso foi em 14/08/2009.Quando eu era adolescente, tinha lá pelos meus 15 anos, tomava conta da minha prima menor (6 anos).Um dia, fomos brincar na casa de uma amiga minha. Antes disso, eu a alertei, dizendo que se perguntassem algo sobre a vida dos pais dela, não era para responder, porque há pessoas fofoqueiras.Estávamos lá e a mãe da minha amiga perguntou: o que os seus pais fazem?A minha prima respondeu: eu não vou falar, porque a Dani disse que as pessoas daqui são fofoqueiras.A minha cara foi ao chão e eu nem tive o trabalho de tirá-la dali. rsrsrsEu expliquei: não foi isso que eu disse, ela é criança, não entende as coisas direito.Esse dia foi de matar. Morri de vergonha."
"3","O que há de errado o presidente emprestar um avião para família que já está dentro dos gastos?","Isso é crime de prevaricaçao. Ele está proporcionando uma vantagem a uma pessoa (viajar de graça) usando um serviço que é pago com dinheiro público.Qual foi o critério para que aquelas pessoas usassem as aeronaves da FAB ? O fato de serem parentes de Bolsonaro. Isso é proibido.A não ser que deixemos para lá as leis. Concorda ? Quer deixar de seguir as leis porque é parente do presidente ? Se for assim, tudo bem.Ah gente não se mistura as coisas.Cadê a referência e os princípios éticos e corretos ?!Não importa que  não haveria gastos, não é um recurso de uso pessoal. É da presidência do país. Se outros fizeram foi errado tAmbém!"
"4","Considerando estatísticas e a experiência de pessoas que atuam em assistência social, dá para dizer que Bolsonaro tem alguma razão em afirmar que no Brasil praticamente ninguém passa fome mais, mas, sim, apenas "passam mal, não comem bem"?","Até acredito que existam pessoas extremamente carentes no Brasil, passando fome, mesmo. Também acredito que o Bolsonaro é sistematicamente criticado por tudo o que diz. Ah, ele fala bobagens. Sim, fala. Mas é criticado mesmo quando não fala. A ONU, tão bem vista pelos críticos sistemáticos do atual governo, através do seu World Food Programme, divulgou o mapa da fome no mundo, e o Brasil aparece como um país em que a fome não é um problema. E agora, vamos subir hashtags malhando a ONU também?Ref.: 2018 - Hunger MapExiste uma coisa chamada MAPA DA FOME, em que olha só, nós tínhamos saído desse mapa mundial dos países em que existe gente (especialmente CRIANÇAS) que MORREM por não terem o que comer. E adivinha só? O bolsa família que muita gente reclama por não entender como realmente funciona, era o que permitia que uma parte da nossa população não morresse de fome. Pelo simples fato de que uma porcentagem assustadora do nosso povo vive em condições que são classificadas como miseráveis. Então Bolsonaro não tem fundamento nenhum em falar uma coisa dessas. Porque estamos de volta no Mapa da Fome.No Brasil, morre mais gente de obesidade e doença cardiaca do que de fome.Mas tudo que JB fala, atrai esse o lado negativo, graças a nossa mídia isenta."
"5","O que mais te assusta quanto ao futuro do Brasil?","A maneira com que a população e as instituições reagiram ao golpe e à eleição, e à instalação da ditadura que cada vez mais se aprofunda. Parece que tudo sempre foi normal, com os processos midiáticos afastando os candidatos, Lula e os que poderiam substituí-lo, as milhões de mensagem ilegalmente transmitidas com mentiras, as medidas de destruição do patrimônio nacional sem resistência do congresso ou das forças armadas, as revelações sobre os processos e fraudes, mais que suficientes para anular as eleições, e muitos etc. Tendo visto os dois golpes, a resistência, e pelo menos a consciência do que estava acontecendo, era muito maior em 64 que agora, além das medidas de desenvolvimento dos militares serem totalmente diferentes das medidas de destruição atuais.Boa pergunta. Nao sei se o Brasil tem futuro, se metade dos brasileiros fazem de tudo para o país se afunde mais. Estamos na falencia moral, economica e cultural e criminosos saindo impunes da cadeia. Me assusta o próprio brasileiro.A falta de pesquisa.O desmonte do Ensino Superior Público por falta de dinheiro.Falta de merenda nutritiva para as crianças nas escolas.O número de crianças pobres nas ruas pedido esmola.O número de crianças criadas presas dentro de casa ou condomínios devido à falta de segurança.Crianças viciadas em jogos de vídeo-game e computador que não se interessam por esportes ou em socializar com os amigos.Crianças desencorajadas a questionar a tudo e a todos, seguindo o princípio manda quem pode obedece quem tem juízo. Perdendo assim a oportunidade de formar adultos com raciocínio crítico.Falta de atividades extra-curriculares enriquecedoras às crianças como leitura, música, dança, teatro, pintura entre outros.Os cortes nas verbas das vacinas contra difteria, tétano, coqueluche, hepatite B e meningite que colocam milhões de bebês em risco.Professores desmotivados, sem prestígio, ganhando pouco e sendo perseguidos pelo governo.A falta de interesse dos jovens brasileiros em se tornarem professores para formar uma nova geração de brasileiros que eleve o padrão do país.Na verdade é bem desesperador pensar no futuro do Brasil 😰Ditadura instalada no País… pelo voto, pela abstenção e pelos votos brancos dos brasileiros (nesse grupo de eleitores está a culpa). Não adianta bolsominio chorar, agora é levar na cabeça.o futuro do mundo está ameaçado ,com a chegada da nova ordem mundial,pois teremos uma revolução industrial,e em seguida redução populacionalSaúde, Desemprego e SegurançaA falta de consciencia do eleitor brasileiro, principalmente nos trabalhadores, votando em candidatos, tanto no executivo como no legislativo, em candidatos favoritos does empresários.A Pequena Possibilidade de Bolsonaro tentar dar algum tipo de Golpe de Estado e virar um Ditador estilo Pinochet.Tudo"
"6","Qual é a desvantagem de ter muito conhecimento sociológico?","Ter muito conhecimento em uma disciplina pode ter a desvantagem de se enxergar com uma única lente.Fala-se em economicismo, psicologismo e creio que também haja o sociologismo, que seria interpretar tudo segundo a ótica das teorias sociais.Para evitar esse olhar enviesado o pesquisador deve afastar-se do comportamento dogmático e ter senso de realidade.Deve conhecer outras ciências e deve ler textos com opiniões diferentes das dele(a) para que posso refletir com mais isenção.A de que você poderia ter focado em áreas muito mais interessantes, tendo gasto um tempo absurdo em algo que não mudará a forma como você agirá e muito menos a forma como a sociedade é e se encontra.Não acho que ter muito conhecimento, de qualquer tipo, seja uma desvantagem. O problema é quando a pessoa se torna soberba por causa do conhecimento que adquiriu.Se for ruim, perder tempo."
"7","A indústria leiteira é tão cruel quanto os veganos dizem?","Tudo bem. Então, eu estudei em uma escola agrícola e trabalhei em uma fazenda de gado leiteiro porque amo animais. E vou explicar como, aqui, na França, e provavelmente na Alemanha também, é feito, porque muito do que ela diz no video não é verdade. Mas talvez seja feito em algum lugar assim, onde, eu não sei.Então, vou seguir o roteiro dela:_A inseminação artificialIsso é feito normalmente aos 36 meses e não aos 12, como ela afirma. Sim, envolve penetrar a vagina de uma vaca sem o seu consentimento. Empurrar o punho no ânus pode ser feito por outras razões. Por exemplo, para uma ultra-sonografia. Em seu vídeo, a vaca está obviamente reagindo, mas pelo que eu vejo, elas não revidam sistematicamente. Na verdade, eu nunca vi uma vaca lutando assim na vida real. Veganos chamam de estupro. Eu acho que é bobagem chamar isso de estupro. Muitos procedimentos médicos envolvem uma penetração. Toda vez que meus gatos vão ao veterinário, eles enfiam um termômetro no ânus, eles não gostam, mas eles o enfiam independentemente porque é necessário. Isso é estupro? Porque é uma penetração sem consentimento. Se sim, significa que muitos procedimentos médicos não podem ser feitos. Se não, significa vegan considerar estupro apenas quando é um ato de inseminação, o que é ainda pior. Em ambos os casos, acho absurdo aplicar esse conceito de estupro aos animais. Claro, não devemos penetrá-las por nenhum motivo. Mas a inseminação é feita durante o cio, quando as vacas procuram ser fertilizadas e, portanto, penetradas. Ela também mostra algo que ela chama de “tenda de estupro”. Nunca ouvi essa expressão usada aqui. E o que ela mostra é isto:É uma sala de ordenha, que gira. As vacas permanecem por cerca de 10 minutos, na hora de serem ordenhadas, e depois voltam para suas vidas. Não é onde eles moram nem onde a inseminação ou os exames veterinários são feitos. Não há nada de errado com essas máquinas; eles não diferem da sala de ordenha normal. Eles apenas mostram que a fazenda é moderna e tem muitas vacas, porque pequenas fazendas com pequenos rebanhos não teriam necessidade de investir em tal máquina. Não é sinônimo de abuso ou algo negativo. Este argumento está sendo excessivamente usado por pessoas ignorantes que querem alimentar o medo de que somos terríveis para os animais. Não! É apenas uma barraca em que a vaca fica enquanto ela está sendo ordenhada por 10 min._O nascimento do bezerroSim, os bezerros são levados embora e, sim, isso é estressante para ambas as partes. Sim, elas estão ligadas a seus bebês, como qualquer mãe estaria. Sim, acontece que eles chamam uns aos outros nos primeiros dias. Essa é a coisa mais brutal sobre as fazendas leiteiras, na minha opinião. Mas eles não gritam por um ano inteiro sem parar ... Eles superam isso, da mesma forma que um bovino selvagem faria quando seu bebê estivesse sendo comido por um predador. Mas sim, é brutal e estressante. Mas a forma como as pessoas lidam com os bezerros no vídeo é violenta e não representa a maneira como lidamos com os bezerros em situações normais. Não há necessidade de violência, os bezerros não estão lutando, e as mães não são tão complicadas de se manter distantes. Para todos os bezerros que tive que separar, nunca tive que usar força bruta. E de todos os bezerros que nasceram durante o meu período de trabalho, apenas uma mãe gritou muito como no vídeo. Outras permaneciam quietas. Eu não acho que isso significa que elas estejam bem e não estão magoadas, mas ainda assim. Aqui estão as fotos do meu bezerro favorito, o primeiro a nascer quando eu trabalhei lá, que era do sexo masculino e não foi morto no nascimento.Atualização: Encontrei um bom artigo que explica que a alternativa à separação da mãe e dos bezerros está sendo pesquisada no INRA (Institut national de la recherche agronomique – Wikipédia, a enciclopédia livre) e às vezes tentada por fazendeiros orgânicos (reunindo bezerros duas vezes ao dia com a mãe, usando vacas adotivas ou deixando o bezerro com a mãe). na primeira semana). Link para o artigo em francês aqui. Eu desejo que esta prática se espalhe no futuro!Os bezerros do sexo masculinoOs bezerros machos, AQUI, não são abatidos no nascimento ou nos primeiros dias. Eles são mantidos pelo menos dois anos, durante os quais eles serão alimentados. Não há necessidade de brutalidade, pois eles estarão em estábulos ou em pasto, e eu prefiro pastagem para todos. Aqui está o que eles parecem onde eu moro:_Os bezerros femininosEles são mantidos para assumir o trabalho de sua mãe. Tanto os machos como as fêmeas são mantidos juntos, primeiro, depois serão separados. Eu detalho isso em outra resposta aqui. Sim eles são mantidos em baias individuais em um primeiro momento, é assim que eles recebem atendimento individual e podemos ter certeza que eles recebem comida suficiente. Mais tarde, eles ficam juntos como abaixo, e eles compartilham o mesmo cocho. Seria estúpido permitir que recém-nascidos competissem com bezerros de 3 semanas de idade por leite. Poderia ser mortal.Bezerros jovens, ambos os sexos, juntos no estábuloFêmeas jovens, com idade suficiente para estar em um pasto_A ordenha da vacaA ordenha, por máquina ou mão, não é e não deve ser dolorosa. Mas o ponto que a moça levanta no vídeo é que elas sofrem e sangram. Elas não devem sangrar. Elas nunca devem sangrar quando são ordenhadas. Ponto final. Sim, pode haver cortes micro. Sim, pode haver problemas no úbere devido à superprodução de leite. Mas isso não é absolutamente algo desejável. Elas não devem sangrar. Higiene é importante. Limpamos o úbere antes e depois do leite. Nós verificamos o leite manualmente antes de colocarmos a máquina de ordenha para ter certeza de que não há doença. Ordenhar as vacas com sangue sobre elas, como mostrado no vídeo, é claramente irresponsável e não o que um bom fazendeiro faz. Abaixo está uma foto de onde trabalhei. É mais escuro do que na realidade, mas você pode ver no canto superior esquerdo o produto que usamos para limpar o úbere depois de ordenhamos. Limpamos o úbere antes com uma toalha molhada (1 por vaca, nunca as usamos duas vezes em vacas diferentes e lavamos a toalha após o uso). Você também pode ver a mangueira de água para que possamos limpar rapidamente se fizerem cocô._O fim da vida de uma vaca leiteiraEles são aposentadas por volta dos 7 anos de idade, alimentadas um pouco e enviadas para o abate. É verdade que a indústria da carne está fortemente relacionada à indústria de laticínios. Mas esses vídeos são de vacas caindo, incapazes de se mover. O que? Não. Tínhamos uma vaca e ela tinha uma perna ferida (não sei por que, eu não estava lá quando aconteceu). Ela não podia mais andar e seguir o rebanho. Ela estava com dor. Ela sofreu, foi extremamente doloroso assistir e ouvir. Em algum momento, ela não conseguiu mais ficar de pé e acabou de se deitar. Ela não bebia. Ela estava em total agonia, e foi doloroso para mim ver isso. Mas ela foi rapidamente sacrificada. Eutanasiada por um veterinário, nas condições adequadas. Nós então tivemos que remover o cadáver e guardá-lo, até que serviços especiais viessem pegar o corpo e queimá-lo. Porque é isso que é feito. Não é permitido enterrar esses animais, não comemos animais sacrificados e não enviamos uma vaca que não fique de pé no matadouro. Então o vídeo mostrado é realmente chocante e eu não tenho ideia do que eles estão fazendo. Isso ocorre durante uma epidemia? São casos horríveis de abuso de animais? Essa é a prática comum nos EUA? Eu não sei, mas certamente não é o que fazemos. Abaixo, é como todas as nossas vacas vão para a sala de ordenha por conta própria, sem problemas de locomoção e depois retornando ao pasto. Note que nenhum úbere está sangrando._“Leite de vaca é para bezerros”Para isso, eu já respondi aqui._CONCLUSÃO:Este vídeo é propaganda, feito de desinformação e exagero. Não é absolutamente representativo de como a França, segundo maior produtor de leite da Europa, trata seu gado leiteiro.As vacas precisam do mínimo esforço possível para serem produtivas, portanto, mesmo do ponto de vista econômico, não precisamos ser tão violentos como mostrado no vídeo.E acho cansativo que esse tipo de gente venha nos ensinar como trabalhar. Eu odeio as lições de moral. Eu discordo fortemente disso em um ponto de vista político. Eu estou cansado de burgueses tentando envergonhar as pessoas por comerem produtos animais. (Veganos, é hora de ler o manifesto comunista e encontrar a parte chamada socialismo conservador ou burguês)._Edição importante: SIM, ESTA FAZENDA É REPRESENTANTE DA REALIDADE. NÃO, A GRANDE MAIORIA DAS FAZENDAS NÃO SÃO DIFERENTES.45% das fazendas leiteiras estão no oeste da França, onde eu trabalhava. Eles produzem 50% da produção nacional. Eles têm em média 54 vacas por fazenda. Na França, apenas 10% das fazendas possuem mais de 100 vacas. Havia 112 vacas onde trabalhei. No oeste da França, é a segunda parte mais intensiva depois da área parisiense. Isso significa 1,6 UGB (= vaca) por hectare. As vacas são alimentadas com milho, grãos, feno e GRAMA. (Fonte do ministro da agricultura)A maioria das fazendas é de exploração familiar, o que significa que é uma empresa, sim, mas não o tipo de fazendas de propriedade de investidores que não sabem nada sobre vacas e não trabalham diretamente na fazenda. Essas fazendas são geralmente odiadas por todos, incluindo os agricultores, porque são grandes, os animais não são respeitados, estão sempre dentro, são grandes competidores e poluem mais. (Mais informações em francês sobre o tamanho das fazendas, a porcentagem de terras dedicadas à alimentação de grama, fazendas familiares em Bretagne. Aqui está uma dica para encontrar dados relacionados às fazendas leiteiras francesas, tipo “Agreste filière laitière / bovin laitier”)A foto mostrada neste post, exceto a sala de ordenha que tenho na foto, mas sem vacas dentro, são todas minhas e todas tiradas em Bretagne, oeste da França, e como mostrado no mapa abaixo (fonte), é onde a maioria das vacas leiteiras estão:Ninguém na minha família é dono de uma fazenda, eu não trabalho mais nesse campo e, portanto, eu não sou pago de nenhuma maneira pela indústria de laticínios, pelos teóricos da conspiração por aí.E, para mais, a FAO (Organização das Nações Unidas para Alimentação e Agricultura – Wikipédia, a enciclopédia livre) concebeu um guia de “boas práticas” para as fazendas leiteiras. Não é uma lei, mas recomendações que podem ser aplicadas em qualquer lugar do mundo, que você pode ler aqui em francês e, provavelmente, encontrar em inglês. Basicamente, os animais não devem ser estressados, feridos, e deixados doentes, devem receber um ambiente em que possam ter uma boa vida para a espécie e outros conselhos de higiene para a ordenha, para evitar a infecção no leite._Outros exemplos de fazendas francesas:E aqui estão as fotos de diferentes fazendas leiteiras todas ma Bretagne, para ilustrar que elas têm acesso a pastagens, que ficam de pé sobre as pernas, que não sangram e que não estão completamente traumatizadas por suas condições de vida. Se você duvida, venha e verifique por si mesmo:Nota do tradutor.Essa é uma questão que considero muito importante. Vi o vídeo no youtube que contextualiza a pergunta, de uma ativista vegana. Li a resposta do Jean e resolvi traduzi-la a despeito da extensão (foi a mais trabalhosa que eu já traduzi no Quora).Respeito muito os veganos, admiro sua opção de vida. Mas eu sinceramente acredito na versão da história do Jean. Acredito pois me parece fazer mais sentido e porque está mais próximo do pouco que eu já vi de fazendas leiteiras no Brasil.Sim. Passo meus dia lendo Sacher-Masoch, o Marquês de Sade, Torquemada e o Malleus Maleficarum para melhor torturar as minhas meninas, que aliás têm o nome da minha filha e de amigas minhas…Falando sério, existem leiterias que considero cruéis. Em Israel, os famosos recordes mundiais vêm de um sistema impessoal e implacável. mas o motivo é político - bater o recorde mundial de produção leiteira foi importante para apresentar Israel como a terra do leite e do mel, e apesar do custo altíssimo eles insistem no modelo.Talvez na Eslobóvia eles torturem as vacas com ferros em rubro, as mantenham comendo soja envenenada, e deem choques elétricos de meia em meia hora… Mas a verdade é que vacas leiteiras são extremamente sensíveis a maus tratos, basta um simples grito para elas produzirem 10% menos; um tapa simples (só para estalar) e são menos 20%. Um grande incrementador de produção leiteira é … Mozart! Basta um toca CDs e elas aumentam a produção nuns 20%. E eu acabei de inventar a Eslobóvia.Vamos lá: produtor rural não ganha NADA com leite. Quando ganha, ganha com venda de matrizes, porque investiu em genética. No melhor dos cenários (inatingível) , leite zera a despesa. Grandes empresas leiteiras, como a Calciolândia, na verdade ganham com matrizes.Calculava-se (até uns anos atrás, preguiça de me atualizar) que 80% da produção mineira vem de pequenos produtores, em locais onde as vacas têm nome e sobrenome, ancestralidade conhecida, e sejam família.Só para complementar a resposta traduzida pelo Alan Gimenez Ribeiro, segue video mostrando padrão de qualidade e sistema de carrossel similar utilizado em fazenda em Araras/SP.São 13 minutos bastante informativos.Poderá ser ou não. Por exemplo nos Açores há explorações ditas de “vacas felizes” onde os animais tranquilamente pastam e tranquilamente são ordenhadas, etc.Passe a publicidadeNa região de Curitiba tem alguns sítios que deixam as vacas soltas e produzem leite orgânico que é vendido numa feira orgânica na cidade. Meio caro, mas qualidade absoluta e as vacas são muito bem tratadas. Nada de cruel nisso, pelo menos nisso.O modo convencional das indústrias leiteiras, de sucção das tetas das vacas, parece ser incômodo a elas pelo cansaço, ou talvez até seja dolorido. Há vários tipos de produtores, alguns mais industriais, outros mais rurais. Cada marca produz ou faz parceria com produtores, grandes ou pequenos. Mas, o que há de mais cruel do que o abate de animais? O leite é muito nutritivo, e por isso é um alimento necessário às pessoas, que o consomem em grande quantidade. O que as indústrias fazem, é tentar atender a demanda. É preciso desenvolver melhores meios, ou novas tecnologias, se quiser tornar a retirada do leite mais cômoda às vacas.As Vacas “Felizes”, o Leite e o Queijo"
"8","Envelhecer é tão ruim quanto dizem?",""
"9","Em que idade começa a violência contra a mulher?","Que raio de pergunta estranha.Num sentido literal, a violência contra a mulher começa quando um embrião feminino é aninhado num útero qualquer. Aborto voluntário é classificado como crime violento contra a vida, então eis aí a resposta, stricto sensu.Semana passada tivemos aquele caso do programa Silvio Santos em que fizeram uma competição de miss com meninas de menos de 10 anos. Silvio Santos mostra crianças desfilando de maiô e gera revolta nas redes sociais - ISTOÉ IndependenteO prêmio que seria oferecido era de mil reais. Por mil reais, os pais dessas meninas estavam dispostos a exporem seus corpos como objetos sexuais antes mesmo que elas passassem pela puberdade. Os pais que deveriam proteger essas meninas, estavam monetizando seus corpos em TV aberta.Ao mesmo tempo que esses pais vendiam suas filhas, uma emissora de televisão vendia esses corpos como se pertencessem a eles. Um velho rico, mediu suas coxas para ganhar mais IBOPE.Essas meninas foram tocadas por estranhos, tiveram seus corpos avaliados, foram expostas como brinquedos e tratadas como seres subumanos sem ter uma pessoa sequer para defendê-las. Elas foram objetificadas e pedofilizadas por um monte de adultos que deveriam estar as protegendo.Mulheres não começam a sofrer violência quando elas tem 10 anos. Elas começam com menos. Analisando os mais de 82mil tweets com a hashtag #meuprimeiroassedio o site ThinkOlga chegou à conclusão que a média de primeiros assédios é de 9,7 anos, sendo que 65% dos agressores são pessoas conhecidas, entre eles familiares e amigos.Percebam que já aos 2 anos tem alguns relatos e quanto mais adolescente, menor vai ficando a probabilidade do primeiro assédio, isso não significa que mulheres mais velhas não são assediadas, significa que seu primeiro assédio provavelmente já aconteceu antes dos 19.https://olga-project.herokuapp.c...A MC Melody, hoje já esquecida, é outro exemplo. Ela foi sexualizada desde os 11 anos, vendida como um objeto pelo seu próprio pai. Até hoje se você entrar na sua conta do Instagram vai ver um monte de comentário de pedófilo desocupado falando um monte de coisas absurdas que não se fala para uma menina de 14 (talvez 15) anos. Assim como MC Melody, outras famosas foram atingidas pela erotização infantilMulheres começam a sofrer violência quando o mundo começa a perceber elas como tal, isso pode acontecer aos 0, 2, 9, 13, quando for, não tem como colocar uma data. O que dá pra fazer é repensar a maneira como olhamos para mulheres, e antes disso, a maneira como olhamos para crianças.Parem de ser pedófilos!Gostei da resposta do amigo. E gostaria de seguir com minha experiência:Em casa, sendo a filha mais nova, desde uns 6 ou 7 anos, até hoje com 32, o gaslighting rola solto entre meu pai e meu irmão: nenhuma opinião minha é válida ou útil e merece crédito- mesmo quando fazem o que eu sugeri dois anos depois."
"10","Como alguém pode se tornar socialmente confiante e enfrentar a sociedade?","Receba o mais massivo que puder. Pessoas musculosas têm mais facilidade em situações sociais. Quando a pessoa à sua frente poderia esmagá-lo com um braço, você começa a demonstrar respeito. Funciona como um encantoPare de se levar tão a sério. Conversando com as pessoas? Nada demais. Conversando com garotas? Nada demais.Converse com pessoas que você ainda não conhece. Trabalhando em uma grande fábrica? Fale com colegas de trabalho com quem você nunca falou. Andando em uma cidade grande? Diga oi para estranhos ... Cultive oportunidades!Tenha algumas experiências sob seu cinto. Excelente. E horrível. Você quer aproveitar a chance para o máximo de pessoas possível, então você constrói sua própria agenda social - e sabe o que esperar das pessoasFale com você mesmo. Muito. Não só quando você está sozinho. Na rua, costumo falar sozinho em voz alta. Sim, sou esquisito E entao? Eu posso fazer isso ... E a maioria das pessoas não pode porque elas não querem parecer estranhasPare de cuidar. Alguém olha para você? Quem se importa? Sim, eles acham que você é esquisito. Sim, eles vão voltar a pensamentos estúpidos em 2 minutos ...Ninguém se importa com você. Provavelmente nem mesmo seus amigos. Eles amam o * jeito * que você os faz sentir. Não você como pessoa.Afaste-se das pessoas que te derrubam.Estar em nenhum relacionamento é melhor do que estar errado. Saiba seu valor! Quando você se entrega àqueles que o desrespeitam, você perde. Seus amigos na vida devem motivar, inspirar e respeitar você.Seja grato por quem você é e o que você tem agora.Há sempre muito pelo que ser grato e lembrar que onde você está na vida agora é um passo necessárioobrigado!"
